day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,7,1,17,26
4,Jan,2023,7,2,17,29
8,Jan,2023,7,3,17,32
12,Jan,2023,7,3,17,35
16,Jan,2023,7,3,17,38
20,Jan,2023,7,2,17,41
24,Jan,2023,7,1,17,45
28,Jan,2023,7,0,17,48
1,Feb,2023,6,58,17,52
5,Feb,2023,6,55,17,55
9,Feb,2023,6,53,17,57
13,Feb,2023,6,50,18,1
17,Feb,2023,6,47,18,4
21,Feb,2023,6,44,18,6
25,Feb,2023,6,40,18,8
1,Mar,2023,6,36,18,11
5,Mar,2023,6,32,18,13
9,Mar,2023,6,28,18,16
13,Mar,2023,6,23,18,19
17,Mar,2023,6,19,18,20
21,Mar,2023,6,14,18,23
25,Mar,2023,6,10,18,25
29,Mar,2023,6,5,18,27
2,Apr,2023,6,1,18,29
6,Apr,2023,5,56,18,31
10,Apr,2023,5,53,18,33
14,Apr,2023,5,48,18,35
18,Apr,2023,5,44,18,37
22,Apr,2023,5,40,18,39
26,Apr,2023,5,36,18,42
30,Apr,2023,5,33,18,44
4,May,2023,5,29,18,46
8,May,2023,5,26,18,49
12,May,2023,5,24,18,51
16,May,2023,5,22,18,53
20,May,2023,5,19,18,55
24,May,2023,5,17,18,58
28,May,2023,5,17,19,0
1,June,2023,5,16,19,2
5,June,2023,5,15,19,4
9,June,2023,5,14,19,5
13,June,2023,5,14,19,7
17,June,2023,5,16,19,8
21,June,2023,5,16,19,10
25,June,2023,5,16,19,10
29,June,2023,5,19,19,10
3,July,2023,5,19,19,11
7,July,2023,5,21,19,11
11,July,2023,5,23,19,10
15,July,2023,5,25,19,9
19,July,2023,5,27,19,7
23,July,2023,5,29,19,5
27,July,2023,5,31,19,4
31,July,2023,5,33,19,1
4,Aug,2023,5,35,18,58
8,Aug,2023,5,38,18,55
12,Aug,2023,5,40,18,52
16,Aug,2023,5,42,18,49
20,Aug,2023,5,44,18,45
24,Aug,2023,5,46,18,40
28,Aug,2023,5,48,18,37
1,Sept,2023,5,50,18,32
5,Sept,2023,5,52,18,28
9,Sept,2023,5,53,18,23
13,Sept,2023,5,55,18,19
17,Sept,2023,5,56,18,14
21,Sept,2023,5,58,18,10
25,Sept,2023,6,1,18,5
29,Sept,2023,6,2,18,0
3,Oct,2023,6,4,17,56
7,Oct,2023,6,7,17,51
11,Oct,2023,6,8,17,46
15,Oct,2023,6,10,17,43
19,Oct,2023,6,13,17,39
23,Oct,2023,6,16,17,35
27,Oct,2023,6,18,17,32
31,Oct,2023,6,21,17,28
4,Nov,2023,6,23,17,25
8,Nov,2023,6,26,17,23
12,Nov,2023,6,29,17,20
16,Nov,2023,6,32,17,19
20,Nov,2023,6,35,17,17
24,Nov,2023,6,38,17,16
28,Nov,2023,6,41,17,16
2,Dec,2023,6,45,17,16
6,Dec,2023,6,47,17,16
10,Dec,2023,6,50,17,16
14,Dec,2023,6,53,17,17
18,Dec,2023,6,56,17,19
22,Dec,2023,6,58,17,21
26,Dec,2023,6,59,17,23
30,Dec,2023,7,1,17,25
34,Dec,2023,7,2,17,28
