day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,6,43,17,13
4,Jan,2023,6,44,17,16
8,Jan,2023,6,46,17,19
12,Jan,2023,6,46,17,22
16,Jan,2023,6,46,17,25
20,Jan,2023,6,45,17,28
24,Jan,2023,6,44,17,32
28,Jan,2023,6,43,17,34
1,Feb,2023,6,41,17,38
5,Feb,2023,6,38,17,41
9,Feb,2023,6,37,17,43
13,Feb,2023,6,34,17,46
17,Feb,2023,6,31,17,49
21,Feb,2023,6,28,17,52
25,Feb,2023,6,24,17,54
1,Mar,2023,6,20,17,57
5,Mar,2023,6,16,17,58
9,Mar,2023,6,12,18,1
13,Mar,2023,6,8,18,3
17,Mar,2023,6,3,18,5
21,Mar,2023,5,59,18,7
25,Mar,2023,5,55,18,9
29,Mar,2023,5,50,18,11
2,Apr,2023,5,46,18,13
6,Apr,2023,5,42,18,14
10,Apr,2023,5,38,18,17
14,Apr,2023,5,34,18,19
18,Apr,2023,5,30,18,21
22,Apr,2023,5,25,18,23
26,Apr,2023,5,22,18,25
30,Apr,2023,5,19,18,27
4,May,2023,5,16,18,29
8,May,2023,5,13,18,32
12,May,2023,5,10,18,34
16,May,2023,5,8,18,36
20,May,2023,5,6,18,38
24,May,2023,5,4,18,40
28,May,2023,5,4,18,43
1,June,2023,5,2,18,44
5,June,2023,5,2,18,46
9,June,2023,5,1,18,48
13,June,2023,5,1,18,50
17,June,2023,5,2,18,51
21,June,2023,5,2,18,52
25,June,2023,5,4,18,53
29,June,2023,5,5,18,53
3,July,2023,5,7,18,53
7,July,2023,5,8,18,53
11,July,2023,5,10,18,52
15,July,2023,5,11,18,52
19,July,2023,5,14,18,50
23,July,2023,5,16,18,48
27,July,2023,5,18,18,46
31,July,2023,5,20,18,44
4,Aug,2023,5,22,18,41
8,Aug,2023,5,24,18,38
12,Aug,2023,5,26,18,35
16,Aug,2023,5,28,18,32
20,Aug,2023,5,29,18,28
24,Aug,2023,5,31,18,24
28,Aug,2023,5,34,18,20
1,Sept,2023,5,35,18,16
5,Sept,2023,5,37,18,11
9,Sept,2023,5,38,18,8
13,Sept,2023,5,40,18,3
17,Sept,2023,5,41,17,59
21,Sept,2023,5,43,17,54
25,Sept,2023,5,45,17,50
29,Sept,2023,5,47,17,45
3,Oct,2023,5,49,17,41
7,Oct,2023,5,51,17,36
11,Oct,2023,5,52,17,32
15,Oct,2023,5,55,17,28
19,Oct,2023,5,57,17,25
23,Oct,2023,5,59,17,21
27,Oct,2023,6,2,17,17
31,Oct,2023,6,4,17,14
4,Nov,2023,6,7,17,11
8,Nov,2023,6,10,17,9
12,Nov,2023,6,12,17,7
16,Nov,2023,6,15,17,5
20,Nov,2023,6,18,17,4
24,Nov,2023,6,21,17,3
28,Nov,2023,6,24,17,2
2,Dec,2023,6,28,17,2
6,Dec,2023,6,30,17,2
10,Dec,2023,6,33,17,3
14,Dec,2023,6,35,17,4
18,Dec,2023,6,38,17,6
22,Dec,2023,6,40,17,8
26,Dec,2023,6,42,17,10
30,Dec,2023,6,43,17,12
34,Dec,2023,6,44,17,15
