day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,7,10,17,31
4,Jan,2023,7,11,17,34
8,Jan,2023,7,13,17,37
12,Jan,2023,7,13,17,40
16,Jan,2023,7,13,17,44
20,Jan,2023,7,11,17,47
24,Jan,2023,7,10,17,50
28,Jan,2023,7,9,17,53
1,Feb,2023,7,7,17,57
5,Feb,2023,7,4,18,0
9,Feb,2023,7,1,18,3
13,Feb,2023,6,59,18,7
17,Feb,2023,6,56,18,10
21,Feb,2023,6,52,18,13
25,Feb,2023,6,48,18,15
1,Mar,2023,6,44,18,18
5,Mar,2023,6,40,18,20
9,Mar,2023,6,35,18,23
13,Mar,2023,6,31,18,25
17,Mar,2023,6,26,18,28
21,Mar,2023,6,22,18,30
25,Mar,2023,6,17,18,32
29,Mar,2023,6,13,18,35
2,Apr,2023,6,8,18,37
6,Apr,2023,6,3,18,38
10,Apr,2023,5,59,18,41
14,Apr,2023,5,54,18,43
18,Apr,2023,5,50,18,46
22,Apr,2023,5,46,18,47
26,Apr,2023,5,42,18,50
30,Apr,2023,5,39,18,52
4,May,2023,5,35,18,55
8,May,2023,5,32,18,58
12,May,2023,5,29,19,0
16,May,2023,5,26,19,2
20,May,2023,5,25,19,5
24,May,2023,5,23,19,7
28,May,2023,5,22,19,10
1,June,2023,5,21,19,11
5,June,2023,5,20,19,13
9,June,2023,5,19,19,15
13,June,2023,5,19,19,17
17,June,2023,5,20,19,18
21,June,2023,5,20,19,19
25,June,2023,5,21,19,20
29,June,2023,5,23,19,20
3,July,2023,5,24,19,20
7,July,2023,5,26,19,20
11,July,2023,5,28,19,19
15,July,2023,5,30,19,19
19,July,2023,5,32,19,17
23,July,2023,5,34,19,14
27,July,2023,5,37,19,13
31,July,2023,5,38,19,10
4,Aug,2023,5,41,19,7
8,Aug,2023,5,43,19,4
12,Aug,2023,5,45,19,1
16,Aug,2023,5,48,18,58
20,Aug,2023,5,50,18,53
24,Aug,2023,5,52,18,49
28,Aug,2023,5,54,18,45
1,Sept,2023,5,56,18,40
5,Sept,2023,5,58,18,35
9,Sept,2023,6,0,18,31
13,Sept,2023,6,2,18,26
17,Sept,2023,6,4,18,22
21,Sept,2023,6,5,18,17
25,Sept,2023,6,8,18,12
29,Sept,2023,6,10,18,7
3,Oct,2023,6,12,18,2
7,Oct,2023,6,14,17,58
11,Oct,2023,6,16,17,53
15,Oct,2023,6,19,17,49
19,Oct,2023,6,21,17,45
23,Oct,2023,6,24,17,41
27,Oct,2023,6,26,17,38
31,Oct,2023,6,29,17,34
4,Nov,2023,6,32,17,31
8,Nov,2023,6,35,17,28
12,Nov,2023,6,38,17,26
16,Nov,2023,6,41,17,25
20,Nov,2023,6,44,17,23
24,Nov,2023,6,47,17,22
28,Nov,2023,6,50,17,21
2,Dec,2023,6,55,17,21
6,Dec,2023,6,57,17,21
10,Dec,2023,7,0,17,21
14,Dec,2023,7,2,17,22
18,Dec,2023,7,5,17,24
22,Dec,2023,7,7,17,26
26,Dec,2023,7,9,17,28
30,Dec,2023,7,10,17,30
34,Dec,2023,7,11,17,33
