day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,7,16,17,34
4,Jan,2023,7,17,17,37
8,Jan,2023,7,18,17,40
12,Jan,2023,7,18,17,43
16,Jan,2023,7,18,17,47
20,Jan,2023,7,17,17,50
24,Jan,2023,7,15,17,53
28,Jan,2023,7,14,17,56
1,Feb,2023,7,13,18,1
5,Feb,2023,7,10,18,4
9,Feb,2023,7,7,18,6
13,Feb,2023,7,4,18,10
17,Feb,2023,7,1,18,13
21,Feb,2023,6,57,18,16
25,Feb,2023,6,53,18,19
1,Mar,2023,6,49,18,22
5,Mar,2023,6,44,18,24
9,Mar,2023,6,40,18,26
13,Mar,2023,6,35,18,29
17,Mar,2023,6,30,18,31
21,Mar,2023,6,25,18,34
25,Mar,2023,6,22,18,36
29,Mar,2023,6,17,18,39
2,Apr,2023,6,11,18,41
6,Apr,2023,6,7,18,43
10,Apr,2023,6,3,18,46
14,Apr,2023,5,58,18,48
18,Apr,2023,5,54,18,50
22,Apr,2023,5,49,18,53
26,Apr,2023,5,45,18,56
30,Apr,2023,5,42,18,58
4,May,2023,5,38,19,1
8,May,2023,5,35,19,3
12,May,2023,5,32,19,5
16,May,2023,5,29,19,8
20,May,2023,5,28,19,10
24,May,2023,5,26,19,13
28,May,2023,5,25,19,15
1,June,2023,5,24,19,17
5,June,2023,5,23,19,19
9,June,2023,5,22,19,21
13,June,2023,5,22,19,23
17,June,2023,5,23,19,24
21,June,2023,5,23,19,25
25,June,2023,5,24,19,26
29,June,2023,5,26,19,26
3,July,2023,5,27,19,26
7,July,2023,5,29,19,26
11,July,2023,5,31,19,25
15,July,2023,5,33,19,24
19,July,2023,5,35,19,22
23,July,2023,5,37,19,20
27,July,2023,5,40,19,18
31,July,2023,5,41,19,15
4,Aug,2023,5,44,19,13
8,Aug,2023,5,46,19,10
12,Aug,2023,5,49,19,7
16,Aug,2023,5,51,19,2
20,Aug,2023,5,53,18,59
24,Aug,2023,5,55,18,53
28,Aug,2023,5,58,18,50
1,Sept,2023,6,0,18,45
5,Sept,2023,6,2,18,40
9,Sept,2023,6,4,18,36
13,Sept,2023,6,5,18,31
17,Sept,2023,6,8,18,26
21,Sept,2023,6,10,18,21
25,Sept,2023,6,12,18,16
29,Sept,2023,6,14,18,11
3,Oct,2023,6,16,18,7
7,Oct,2023,6,19,18,2
11,Oct,2023,6,21,17,57
15,Oct,2023,6,23,17,53
19,Oct,2023,6,26,17,49
23,Oct,2023,6,29,17,45
27,Oct,2023,6,32,17,41
31,Oct,2023,6,35,17,37
4,Nov,2023,6,37,17,34
8,Nov,2023,6,40,17,31
12,Nov,2023,6,43,17,29
16,Nov,2023,6,46,17,28
20,Nov,2023,6,50,17,26
24,Nov,2023,6,53,17,25
28,Nov,2023,6,56,17,23
2,Dec,2023,7,0,17,23
6,Dec,2023,7,3,17,24
10,Dec,2023,7,6,17,24
14,Dec,2023,7,8,17,25
18,Dec,2023,7,11,17,27
22,Dec,2023,7,13,17,29
26,Dec,2023,7,15,17,31
30,Dec,2023,7,16,17,33
34,Dec,2023,7,17,17,36
