day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,7,14,17,35
4,Jan,2023,7,16,17,38
8,Jan,2023,7,17,17,41
12,Jan,2023,7,17,17,44
16,Jan,2023,7,17,17,47
20,Jan,2023,7,16,17,50
24,Jan,2023,7,14,17,55
28,Jan,2023,7,13,17,58
1,Feb,2023,7,11,18,1
5,Feb,2023,7,8,18,4
9,Feb,2023,7,6,18,7
13,Feb,2023,7,3,18,11
17,Feb,2023,7,0,18,14
21,Feb,2023,6,56,18,16
25,Feb,2023,6,52,18,19
1,Mar,2023,6,49,18,22
5,Mar,2023,6,44,18,24
9,Mar,2023,6,40,18,27
13,Mar,2023,6,35,18,29
17,Mar,2023,6,30,18,31
21,Mar,2023,6,25,18,34
25,Mar,2023,6,22,18,36
29,Mar,2023,6,17,18,39
2,Apr,2023,6,12,18,41
6,Apr,2023,6,7,18,43
10,Apr,2023,6,3,18,46
14,Apr,2023,5,58,18,47
18,Apr,2023,5,55,18,50
22,Apr,2023,5,50,18,52
26,Apr,2023,5,46,18,55
30,Apr,2023,5,43,18,56
4,May,2023,5,39,18,59
8,May,2023,5,36,19,2
12,May,2023,5,34,19,4
16,May,2023,5,31,19,7
20,May,2023,5,29,19,9
24,May,2023,5,27,19,11
28,May,2023,5,26,19,14
1,June,2023,5,25,19,16
5,June,2023,5,24,19,17
9,June,2023,5,23,19,20
13,June,2023,5,23,19,22
17,June,2023,5,24,19,22
21,June,2023,5,24,19,23
25,June,2023,5,25,19,25
29,June,2023,5,27,19,25
3,July,2023,5,28,19,25
7,July,2023,5,30,19,25
11,July,2023,5,32,19,23
15,July,2023,5,34,19,23
19,July,2023,5,36,19,21
23,July,2023,5,38,19,19
27,July,2023,5,41,19,17
31,July,2023,5,43,19,14
4,Aug,2023,5,45,19,11
8,Aug,2023,5,47,19,8
12,Aug,2023,5,49,19,5
16,Aug,2023,5,52,19,2
20,Aug,2023,5,54,18,58
24,Aug,2023,5,56,18,53
28,Aug,2023,5,58,18,49
1,Sept,2023,6,0,18,44
5,Sept,2023,6,2,18,40
9,Sept,2023,6,4,18,35
13,Sept,2023,6,6,18,31
17,Sept,2023,6,8,18,26
21,Sept,2023,6,10,18,21
25,Sept,2023,6,12,18,16
29,Sept,2023,6,14,18,11
3,Oct,2023,6,16,18,7
7,Oct,2023,6,19,18,2
11,Oct,2023,6,20,17,57
15,Oct,2023,6,23,17,53
19,Oct,2023,6,25,17,49
23,Oct,2023,6,28,17,46
27,Oct,2023,6,31,17,42
31,Oct,2023,6,34,17,38
4,Nov,2023,6,37,17,35
8,Nov,2023,6,40,17,32
12,Nov,2023,6,43,17,30
16,Nov,2023,6,45,17,28
20,Nov,2023,6,49,17,26
24,Nov,2023,6,52,17,26
28,Nov,2023,6,55,17,25
2,Dec,2023,6,59,17,25
6,Dec,2023,7,2,17,25
10,Dec,2023,7,5,17,25
14,Dec,2023,7,7,17,26
18,Dec,2023,7,10,17,28
22,Dec,2023,7,11,17,30
26,Dec,2023,7,13,17,32
30,Dec,2023,7,14,17,34
34,Dec,2023,7,16,17,37
