day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,6,44,17,13
4,Jan,2023,6,45,17,16
8,Jan,2023,6,46,17,18
12,Jan,2023,6,46,17,21
16,Jan,2023,6,47,17,25
20,Jan,2023,6,46,17,28
24,Jan,2023,6,44,17,31
28,Jan,2023,6,44,17,34
1,Feb,2023,6,42,17,37
5,Feb,2023,6,39,17,40
9,Feb,2023,6,37,17,43
13,Feb,2023,6,34,17,46
17,Feb,2023,6,31,17,49
21,Feb,2023,6,28,17,52
25,Feb,2023,6,24,17,54
1,Mar,2023,6,20,17,56
5,Mar,2023,6,16,17,58
9,Mar,2023,6,13,18,1
13,Mar,2023,6,8,18,3
17,Mar,2023,6,4,18,5
21,Mar,2023,5,59,18,7
25,Mar,2023,5,55,18,9
29,Mar,2023,5,50,18,11
2,Apr,2023,5,46,18,13
6,Apr,2023,5,41,18,15
10,Apr,2023,5,38,18,17
14,Apr,2023,5,33,18,19
18,Apr,2023,5,29,18,22
22,Apr,2023,5,25,18,23
26,Apr,2023,5,22,18,26
30,Apr,2023,5,19,18,28
4,May,2023,5,15,18,30
8,May,2023,5,13,18,32
12,May,2023,5,10,18,35
16,May,2023,5,7,18,37
20,May,2023,5,5,18,39
24,May,2023,5,4,18,41
28,May,2023,5,3,18,43
1,June,2023,5,2,18,45
5,June,2023,5,1,18,47
9,June,2023,5,1,18,49
13,June,2023,5,1,18,50
17,June,2023,5,2,18,52
21,June,2023,5,2,18,53
25,June,2023,5,2,18,53
29,June,2023,5,5,18,53
3,July,2023,5,5,18,54
7,July,2023,5,7,18,54
11,July,2023,5,10,18,53
15,July,2023,5,11,18,52
19,July,2023,5,13,18,50
23,July,2023,5,14,18,49
27,July,2023,5,17,18,47
31,July,2023,5,19,18,44
4,Aug,2023,5,22,18,42
8,Aug,2023,5,23,18,39
12,Aug,2023,5,25,18,36
16,Aug,2023,5,28,18,32
20,Aug,2023,5,29,18,29
24,Aug,2023,5,31,18,25
28,Aug,2023,5,33,18,21
1,Sept,2023,5,35,18,16
5,Sept,2023,5,37,18,12
9,Sept,2023,5,38,18,8
13,Sept,2023,5,40,18,4
17,Sept,2023,5,41,17,59
21,Sept,2023,5,43,17,55
25,Sept,2023,5,46,17,50
29,Sept,2023,5,47,17,45
3,Oct,2023,5,49,17,41
7,Oct,2023,5,51,17,36
11,Oct,2023,5,53,17,32
15,Oct,2023,5,55,17,28
19,Oct,2023,5,57,17,24
23,Oct,2023,5,59,17,20
27,Oct,2023,6,2,17,17
31,Oct,2023,6,5,17,13
4,Nov,2023,6,7,17,11
8,Nov,2023,6,10,17,8
12,Nov,2023,6,13,17,7
16,Nov,2023,6,16,17,5
20,Nov,2023,6,19,17,3
24,Nov,2023,6,22,17,2
28,Nov,2023,6,25,17,2
2,Dec,2023,6,28,17,2
6,Dec,2023,6,31,17,2
10,Dec,2023,6,34,17,2
14,Dec,2023,6,36,17,4
18,Dec,2023,6,39,17,5
22,Dec,2023,6,41,17,7
26,Dec,2023,6,43,17,10
30,Dec,2023,6,44,17,11
34,Dec,2023,6,45,17,14
