day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,7,14,17,32
4,Jan,2023,7,16,17,35
8,Jan,2023,7,17,17,38
12,Jan,2023,7,17,17,41
16,Jan,2023,7,17,17,45
20,Jan,2023,7,16,17,48
24,Jan,2023,7,14,17,52
28,Jan,2023,7,13,17,55
1,Feb,2023,7,11,17,59
5,Feb,2023,7,8,18,2
9,Feb,2023,7,5,18,5
13,Feb,2023,7,2,18,9
17,Feb,2023,6,59,18,12
21,Feb,2023,6,55,18,14
25,Feb,2023,6,52,18,17
1,Mar,2023,6,47,18,20
5,Mar,2023,6,43,18,22
9,Mar,2023,6,38,18,25
13,Mar,2023,6,34,18,28
17,Mar,2023,6,29,18,30
21,Mar,2023,6,24,18,33
25,Mar,2023,6,20,18,35
29,Mar,2023,6,15,18,38
2,Apr,2023,6,10,18,40
6,Apr,2023,6,5,18,41
10,Apr,2023,6,1,18,44
14,Apr,2023,5,56,18,46
18,Apr,2023,5,53,18,49
22,Apr,2023,5,48,18,51
26,Apr,2023,5,44,18,54
30,Apr,2023,5,41,18,56
4,May,2023,5,37,18,59
8,May,2023,5,34,19,2
12,May,2023,5,31,19,4
16,May,2023,5,28,19,7
20,May,2023,5,26,19,8
24,May,2023,5,25,19,11
28,May,2023,5,23,19,14
1,June,2023,5,22,19,16
5,June,2023,5,22,19,17
9,June,2023,5,20,19,19
13,June,2023,5,20,19,22
17,June,2023,5,22,19,22
21,June,2023,5,22,19,23
25,June,2023,5,23,19,25
29,June,2023,5,25,19,25
3,July,2023,5,26,19,25
7,July,2023,5,28,19,25
11,July,2023,5,29,19,23
15,July,2023,5,31,19,23
19,July,2023,5,34,19,20
23,July,2023,5,35,19,19
27,July,2023,5,38,19,17
31,July,2023,5,40,19,14
4,Aug,2023,5,43,19,11
8,Aug,2023,5,45,19,8
12,Aug,2023,5,47,19,5
16,Aug,2023,5,50,19,1
20,Aug,2023,5,52,18,57
24,Aug,2023,5,54,18,52
28,Aug,2023,5,56,18,49
1,Sept,2023,5,58,18,43
5,Sept,2023,6,1,18,38
9,Sept,2023,6,2,18,35
13,Sept,2023,6,4,18,29
17,Sept,2023,6,6,18,25
21,Sept,2023,6,8,18,20
25,Sept,2023,6,11,18,15
29,Sept,2023,6,13,18,10
3,Oct,2023,6,15,18,5
7,Oct,2023,6,17,18,0
11,Oct,2023,6,20,17,55
15,Oct,2023,6,22,17,52
19,Oct,2023,6,25,17,47
23,Oct,2023,6,27,17,44
27,Oct,2023,6,30,17,40
31,Oct,2023,6,33,17,36
4,Nov,2023,6,36,17,33
8,Nov,2023,6,39,17,30
12,Nov,2023,6,42,17,28
16,Nov,2023,6,45,17,26
20,Nov,2023,6,49,17,24
24,Nov,2023,6,52,17,23
28,Nov,2023,6,55,17,22
2,Dec,2023,6,59,17,22
6,Dec,2023,7,1,17,22
10,Dec,2023,7,4,17,23
14,Dec,2023,7,7,17,23
18,Dec,2023,7,10,17,26
22,Dec,2023,7,11,17,28
26,Dec,2023,7,13,17,29
30,Dec,2023,7,14,17,32
34,Dec,2023,7,16,17,35
