day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,7,7,17,30
4,Jan,2023,7,8,17,33
8,Jan,2023,7,8,17,35
12,Jan,2023,7,8,17,38
16,Jan,2023,7,9,17,42
20,Jan,2023,7,8,17,45
24,Jan,2023,7,6,17,49
28,Jan,2023,7,5,17,52
1,Feb,2023,7,4,17,56
5,Feb,2023,7,1,17,58
9,Feb,2023,6,58,18,1
13,Feb,2023,6,55,18,5
17,Feb,2023,6,52,18,8
21,Feb,2023,6,49,18,10
25,Feb,2023,6,45,18,13
1,Mar,2023,6,41,18,16
5,Mar,2023,6,37,18,17
9,Mar,2023,6,33,18,20
13,Mar,2023,6,28,18,23
17,Mar,2023,6,23,18,25
21,Mar,2023,6,19,18,28
25,Mar,2023,6,15,18,29
29,Mar,2023,6,10,18,32
2,Apr,2023,6,5,18,34
6,Apr,2023,6,1,18,35
10,Apr,2023,5,57,18,38
14,Apr,2023,5,52,18,40
18,Apr,2023,5,49,18,43
22,Apr,2023,5,44,18,44
26,Apr,2023,5,40,18,47
30,Apr,2023,5,37,18,49
4,May,2023,5,34,18,52
8,May,2023,5,31,18,55
12,May,2023,5,28,18,56
16,May,2023,5,25,18,59
20,May,2023,5,23,19,1
24,May,2023,5,22,19,4
28,May,2023,5,20,19,5
1,June,2023,5,20,19,8
5,June,2023,5,19,19,10
9,June,2023,5,18,19,11
13,June,2023,5,18,19,13
17,June,2023,5,19,19,14
21,June,2023,5,19,19,15
25,June,2023,5,20,19,16
29,June,2023,5,22,19,16
3,July,2023,5,23,19,16
7,July,2023,5,25,19,16
11,July,2023,5,27,19,16
15,July,2023,5,29,19,14
19,July,2023,5,31,19,13
23,July,2023,5,32,19,11
27,July,2023,5,35,19,9
31,July,2023,5,37,19,7
4,Aug,2023,5,40,19,4
8,Aug,2023,5,41,19,1
12,Aug,2023,5,43,18,58
16,Aug,2023,5,46,18,54
20,Aug,2023,5,48,18,50
24,Aug,2023,5,50,18,46
28,Aug,2023,5,52,18,42
1,Sept,2023,5,54,18,37
5,Sept,2023,5,56,18,32
9,Sept,2023,5,58,18,29
13,Sept,2023,5,59,18,24
17,Sept,2023,6,1,18,19
21,Sept,2023,6,3,18,14
25,Sept,2023,6,5,18,10
29,Sept,2023,6,7,18,5
3,Oct,2023,6,9,18,0
7,Oct,2023,6,11,17,55
11,Oct,2023,6,13,17,51
15,Oct,2023,6,16,17,47
19,Oct,2023,6,18,17,43
23,Oct,2023,6,20,17,40
27,Oct,2023,6,23,17,36
31,Oct,2023,6,26,17,32
4,Nov,2023,6,29,17,29
8,Nov,2023,6,32,17,26
12,Nov,2023,6,35,17,25
16,Nov,2023,6,37,17,23
20,Nov,2023,6,41,17,21
24,Nov,2023,6,44,17,20
28,Nov,2023,6,47,17,19
2,Dec,2023,6,50,17,19
6,Dec,2023,6,53,17,20
10,Dec,2023,6,56,17,20
14,Dec,2023,6,58,17,21
18,Dec,2023,7,1,17,23
22,Dec,2023,7,4,17,25
26,Dec,2023,7,5,17,27
30,Dec,2023,7,7,17,29
34,Dec,2023,7,8,17,32
