day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,6,49,17,18
4,Jan,2023,6,50,17,21
8,Jan,2023,6,52,17,24
12,Jan,2023,6,52,17,27
16,Jan,2023,6,52,17,30
20,Jan,2023,6,51,17,33
24,Jan,2023,6,49,17,37
28,Jan,2023,6,49,17,40
1,Feb,2023,6,47,17,43
5,Feb,2023,6,44,17,46
9,Feb,2023,6,42,17,49
13,Feb,2023,6,40,17,52
17,Feb,2023,6,37,17,55
21,Feb,2023,6,33,17,57
25,Feb,2023,6,29,17,59
1,Mar,2023,6,26,18,2
5,Mar,2023,6,22,18,4
9,Mar,2023,6,18,18,7
13,Mar,2023,6,13,18,9
17,Mar,2023,6,9,18,10
21,Mar,2023,6,4,18,13
25,Mar,2023,6,1,18,14
29,Mar,2023,5,56,18,17
2,Apr,2023,5,52,18,19
6,Apr,2023,5,47,18,20
10,Apr,2023,5,43,18,23
14,Apr,2023,5,39,18,25
18,Apr,2023,5,35,18,27
22,Apr,2023,5,31,18,28
26,Apr,2023,5,27,18,31
30,Apr,2023,5,25,18,33
4,May,2023,5,21,18,35
8,May,2023,5,18,18,38
12,May,2023,5,16,18,40
16,May,2023,5,13,18,42
20,May,2023,5,11,18,44
24,May,2023,5,10,18,46
28,May,2023,5,9,18,49
1,June,2023,5,8,18,50
5,June,2023,5,7,18,52
9,June,2023,5,7,18,54
13,June,2023,5,7,18,56
17,June,2023,5,7,18,57
21,June,2023,5,7,18,58
25,June,2023,5,8,18,59
29,June,2023,5,10,18,59
3,July,2023,5,11,18,59
7,July,2023,5,13,18,59
11,July,2023,5,15,18,58
15,July,2023,5,17,18,58
19,July,2023,5,19,18,56
23,July,2023,5,20,18,54
27,July,2023,5,23,18,52
31,July,2023,5,25,18,50
4,Aug,2023,5,27,18,47
8,Aug,2023,5,29,18,44
12,Aug,2023,5,31,18,41
16,Aug,2023,5,33,18,38
20,Aug,2023,5,35,18,34
24,Aug,2023,5,37,18,30
28,Aug,2023,5,39,18,26
1,Sept,2023,5,40,18,22
5,Sept,2023,5,42,18,17
9,Sept,2023,5,44,18,13
13,Sept,2023,5,46,18,9
17,Sept,2023,5,47,18,4
21,Sept,2023,5,49,18,0
25,Sept,2023,5,51,17,55
29,Sept,2023,5,52,17,50
3,Oct,2023,5,54,17,46
7,Oct,2023,5,56,17,41
11,Oct,2023,5,58,17,37
15,Oct,2023,6,0,17,34
19,Oct,2023,6,2,17,30
23,Oct,2023,6,5,17,26
27,Oct,2023,6,7,17,23
31,Oct,2023,6,10,17,19
4,Nov,2023,6,13,17,16
8,Nov,2023,6,16,17,14
12,Nov,2023,6,18,17,12
16,Nov,2023,6,21,17,10
20,Nov,2023,6,24,17,9
24,Nov,2023,6,27,17,8
28,Nov,2023,6,30,17,7
2,Dec,2023,6,34,17,7
6,Dec,2023,6,36,17,8
10,Dec,2023,6,39,17,8
14,Dec,2023,6,41,17,10
18,Dec,2023,6,44,17,11
22,Dec,2023,6,46,17,13
26,Dec,2023,6,48,17,15
30,Dec,2023,6,49,17,17
34,Dec,2023,6,50,17,20
