day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,6,50,17,15
4,Jan,2023,6,51,17,18
8,Jan,2023,6,52,17,20
12,Jan,2023,6,52,17,23
16,Jan,2023,6,52,17,27
20,Jan,2023,6,52,17,30
24,Jan,2023,6,50,17,34
28,Jan,2023,6,49,17,37
1,Feb,2023,6,47,17,40
5,Feb,2023,6,44,17,43
9,Feb,2023,6,42,17,46
13,Feb,2023,6,39,17,49
17,Feb,2023,6,36,17,52
21,Feb,2023,6,32,17,55
25,Feb,2023,6,29,17,58
1,Mar,2023,6,25,18,0
5,Mar,2023,6,20,18,2
9,Mar,2023,6,17,18,5
13,Mar,2023,6,13,18,7
17,Mar,2023,6,8,18,9
21,Mar,2023,6,3,18,11
25,Mar,2023,5,59,18,13
29,Mar,2023,5,55,18,16
2,Apr,2023,5,50,18,17
6,Apr,2023,5,45,18,19
10,Apr,2023,5,41,18,22
14,Apr,2023,5,37,18,24
18,Apr,2023,5,33,18,26
22,Apr,2023,5,28,18,28
26,Apr,2023,5,25,18,31
30,Apr,2023,5,22,18,32
4,May,2023,5,18,18,35
8,May,2023,5,16,18,38
12,May,2023,5,13,18,40
16,May,2023,5,10,18,43
20,May,2023,5,8,18,44
24,May,2023,5,6,18,47
28,May,2023,5,5,18,49
1,June,2023,5,5,18,51
5,June,2023,5,4,18,53
9,June,2023,5,3,18,55
13,June,2023,5,3,18,56
17,June,2023,5,4,18,58
21,June,2023,5,4,18,59
25,June,2023,5,5,18,59
29,June,2023,5,7,18,59
3,July,2023,5,8,19,0
7,July,2023,5,10,19,0
11,July,2023,5,12,18,59
15,July,2023,5,14,18,58
19,July,2023,5,16,18,56
23,July,2023,5,17,18,55
27,July,2023,5,20,18,53
31,July,2023,5,22,18,50
4,Aug,2023,5,25,18,47
8,Aug,2023,5,26,18,44
12,Aug,2023,5,28,18,41
16,Aug,2023,5,31,18,38
20,Aug,2023,5,32,18,34
24,Aug,2023,5,34,18,29
28,Aug,2023,5,37,18,26
1,Sept,2023,5,38,18,21
5,Sept,2023,5,40,18,16
9,Sept,2023,5,42,18,13
13,Sept,2023,5,44,18,8
17,Sept,2023,5,46,18,3
21,Sept,2023,5,47,17,59
25,Sept,2023,5,50,17,54
29,Sept,2023,5,52,17,49
3,Oct,2023,5,53,17,44
7,Oct,2023,5,56,17,40
11,Oct,2023,5,58,17,35
15,Oct,2023,5,59,17,31
19,Oct,2023,6,2,17,28
23,Oct,2023,6,4,17,24
27,Oct,2023,6,7,17,20
31,Oct,2023,6,10,17,17
4,Nov,2023,6,13,17,14
8,Nov,2023,6,16,17,11
12,Nov,2023,6,18,17,10
16,Nov,2023,6,21,17,8
20,Nov,2023,6,25,17,6
24,Nov,2023,6,28,17,5
28,Nov,2023,6,30,17,4
2,Dec,2023,6,34,17,4
6,Dec,2023,6,37,17,5
10,Dec,2023,6,40,17,5
14,Dec,2023,6,42,17,6
18,Dec,2023,6,45,17,8
22,Dec,2023,6,47,17,10
26,Dec,2023,6,49,17,12
30,Dec,2023,6,50,17,14
34,Dec,2023,6,51,17,17
