day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,7,2,17,22
4,Jan,2023,7,3,17,25
8,Jan,2023,7,4,17,28
12,Jan,2023,7,4,17,31
16,Jan,2023,7,4,17,35
20,Jan,2023,7,4,17,38
24,Jan,2023,7,2,17,42
28,Jan,2023,7,1,17,44
1,Feb,2023,6,59,17,49
5,Feb,2023,6,56,17,52
9,Feb,2023,6,53,17,55
13,Feb,2023,6,50,17,58
17,Feb,2023,6,47,18,1
21,Feb,2023,6,44,18,4
25,Feb,2023,6,40,18,7
1,Mar,2023,6,36,18,10
5,Mar,2023,6,31,18,11
9,Mar,2023,6,27,18,14
13,Mar,2023,6,22,18,17
17,Mar,2023,6,17,18,19
21,Mar,2023,6,13,18,22
25,Mar,2023,6,9,18,23
29,Mar,2023,6,4,18,26
2,Apr,2023,5,59,18,28
6,Apr,2023,5,55,18,30
10,Apr,2023,5,50,18,33
14,Apr,2023,5,46,18,35
18,Apr,2023,5,42,18,37
22,Apr,2023,5,37,18,40
26,Apr,2023,5,33,18,42
30,Apr,2023,5,31,18,44
4,May,2023,5,26,18,47
8,May,2023,5,23,18,50
12,May,2023,5,20,18,52
16,May,2023,5,18,18,55
20,May,2023,5,16,18,56
24,May,2023,5,14,18,59
28,May,2023,5,13,19,1
1,June,2023,5,12,19,3
5,June,2023,5,11,19,5
9,June,2023,5,10,19,7
13,June,2023,5,10,19,9
17,June,2023,5,11,19,10
21,June,2023,5,11,19,11
25,June,2023,5,13,19,12
29,June,2023,5,14,19,12
3,July,2023,5,16,19,12
7,July,2023,5,17,19,12
11,July,2023,5,19,19,11
15,July,2023,5,21,19,10
19,July,2023,5,23,19,8
23,July,2023,5,25,19,7
27,July,2023,5,28,19,4
31,July,2023,5,30,19,2
4,Aug,2023,5,32,18,59
8,Aug,2023,5,35,18,56
12,Aug,2023,5,37,18,53
16,Aug,2023,5,39,18,49
20,Aug,2023,5,41,18,45
24,Aug,2023,5,43,18,40
28,Aug,2023,5,46,18,37
1,Sept,2023,5,47,18,32
5,Sept,2023,5,49,18,27
9,Sept,2023,5,52,18,23
13,Sept,2023,5,53,18,18
17,Sept,2023,5,55,18,13
21,Sept,2023,5,57,18,8
25,Sept,2023,5,59,18,4
29,Sept,2023,6,1,17,59
3,Oct,2023,6,4,17,54
7,Oct,2023,6,6,17,49
11,Oct,2023,6,8,17,44
15,Oct,2023,6,10,17,41
19,Oct,2023,6,13,17,37
23,Oct,2023,6,16,17,33
27,Oct,2023,6,19,17,29
31,Oct,2023,6,21,17,25
4,Nov,2023,6,24,17,22
8,Nov,2023,6,27,17,20
12,Nov,2023,6,30,17,17
16,Nov,2023,6,33,17,16
20,Nov,2023,6,37,17,14
24,Nov,2023,6,40,17,13
28,Nov,2023,6,43,17,12
2,Dec,2023,6,46,17,12
6,Dec,2023,6,49,17,12
10,Dec,2023,6,52,17,12
14,Dec,2023,6,54,17,13
18,Dec,2023,6,57,17,15
22,Dec,2023,6,59,17,17
26,Dec,2023,7,1,17,19
30,Dec,2023,7,2,17,21
34,Dec,2023,7,3,17,24
