day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,7,10,17,28
4,Jan,2023,7,11,17,31
8,Jan,2023,7,11,17,34
12,Jan,2023,7,11,17,37
16,Jan,2023,7,11,17,40
20,Jan,2023,7,11,17,43
24,Jan,2023,7,9,17,47
28,Jan,2023,7,8,17,50
1,Feb,2023,7,6,17,54
5,Feb,2023,7,3,17,57
9,Feb,2023,7,0,18,0
13,Feb,2023,6,57,18,4
17,Feb,2023,6,54,18,7
21,Feb,2023,6,50,18,10
25,Feb,2023,6,46,18,13
1,Mar,2023,6,43,18,16
5,Mar,2023,6,38,18,17
9,Mar,2023,6,34,18,20
13,Mar,2023,6,29,18,23
17,Mar,2023,6,24,18,25
21,Mar,2023,6,19,18,28
25,Mar,2023,6,15,18,30
29,Mar,2023,6,10,18,32
2,Apr,2023,6,5,18,35
6,Apr,2023,6,1,18,37
10,Apr,2023,5,56,18,40
14,Apr,2023,5,52,18,41
18,Apr,2023,5,47,18,44
22,Apr,2023,5,43,18,46
26,Apr,2023,5,39,18,49
30,Apr,2023,5,36,18,51
4,May,2023,5,32,18,54
8,May,2023,5,29,18,57
12,May,2023,5,26,18,59
16,May,2023,5,23,19,2
20,May,2023,5,21,19,4
24,May,2023,5,19,19,7
28,May,2023,5,19,19,8
1,June,2023,5,17,19,11
5,June,2023,5,16,19,13
9,June,2023,5,16,19,14
13,June,2023,5,16,19,16
17,June,2023,5,17,19,17
21,June,2023,5,17,19,19
25,June,2023,5,17,19,19
29,June,2023,5,20,19,19
3,July,2023,5,20,19,19
7,July,2023,5,22,19,19
11,July,2023,5,25,19,19
15,July,2023,5,26,19,17
19,July,2023,5,28,19,16
23,July,2023,5,31,19,14
27,July,2023,5,33,19,11
31,July,2023,5,35,19,9
4,Aug,2023,5,38,19,6
8,Aug,2023,5,40,19,3
12,Aug,2023,5,42,19,0
16,Aug,2023,5,45,18,56
20,Aug,2023,5,47,18,52
24,Aug,2023,5,49,18,47
28,Aug,2023,5,52,18,43
1,Sept,2023,5,53,18,38
5,Sept,2023,5,55,18,34
9,Sept,2023,5,58,18,29
13,Sept,2023,5,59,18,25
17,Sept,2023,6,1,18,20
21,Sept,2023,6,3,18,15
25,Sept,2023,6,6,18,10
29,Sept,2023,6,8,18,5
3,Oct,2023,6,10,18,0
7,Oct,2023,6,13,17,55
11,Oct,2023,6,14,17,50
15,Oct,2023,6,17,17,46
19,Oct,2023,6,19,17,43
23,Oct,2023,6,22,17,38
27,Oct,2023,6,25,17,35
31,Oct,2023,6,28,17,31
4,Nov,2023,6,31,17,28
8,Nov,2023,6,34,17,25
12,Nov,2023,6,37,17,23
16,Nov,2023,6,40,17,21
20,Nov,2023,6,44,17,19
24,Nov,2023,6,47,17,18
28,Nov,2023,6,50,17,17
2,Dec,2023,6,53,17,17
6,Dec,2023,6,56,17,17
10,Dec,2023,6,59,17,17
14,Dec,2023,7,1,17,19
18,Dec,2023,7,4,17,20
22,Dec,2023,7,7,17,22
26,Dec,2023,7,8,17,25
30,Dec,2023,7,10,17,26
34,Dec,2023,7,11,17,29
