day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,6,53,17,18
4,Jan,2023,6,55,17,21
8,Jan,2023,6,56,17,24
12,Jan,2023,6,56,17,27
16,Jan,2023,6,56,17,31
20,Jan,2023,6,55,17,34
24,Jan,2023,6,53,17,37
28,Jan,2023,6,53,17,40
1,Feb,2023,6,51,17,44
5,Feb,2023,6,48,17,46
9,Feb,2023,6,46,17,49
13,Feb,2023,6,43,17,53
17,Feb,2023,6,40,17,56
21,Feb,2023,6,36,17,58
25,Feb,2023,6,32,18,1
1,Mar,2023,6,29,18,4
5,Mar,2023,6,24,18,5
9,Mar,2023,6,20,18,8
13,Mar,2023,6,16,18,11
17,Mar,2023,6,11,18,13
21,Mar,2023,6,7,18,15
25,Mar,2023,6,2,18,17
29,Mar,2023,5,58,18,19
2,Apr,2023,5,53,18,21
6,Apr,2023,5,49,18,23
10,Apr,2023,5,45,18,26
14,Apr,2023,5,40,18,28
18,Apr,2023,5,36,18,30
22,Apr,2023,5,32,18,32
26,Apr,2023,5,28,18,34
30,Apr,2023,5,25,18,36
4,May,2023,5,22,18,39
8,May,2023,5,19,18,41
12,May,2023,5,16,18,44
16,May,2023,5,13,18,46
20,May,2023,5,11,18,48
24,May,2023,5,10,18,50
28,May,2023,5,9,18,53
1,June,2023,5,8,18,55
5,June,2023,5,7,18,56
9,June,2023,5,6,18,58
13,June,2023,5,6,19,0
17,June,2023,5,7,19,1
21,June,2023,5,7,19,2
25,June,2023,5,8,19,3
29,June,2023,5,10,19,3
3,July,2023,5,11,19,4
7,July,2023,5,13,19,4
11,July,2023,5,15,19,2
15,July,2023,5,17,19,2
19,July,2023,5,19,19,0
23,July,2023,5,20,18,58
27,July,2023,5,23,18,56
31,July,2023,5,25,18,53
4,Aug,2023,5,28,18,51
8,Aug,2023,5,29,18,48
12,Aug,2023,5,31,18,45
16,Aug,2023,5,34,18,41
20,Aug,2023,5,36,18,37
24,Aug,2023,5,38,18,33
28,Aug,2023,5,40,18,29
1,Sept,2023,5,42,18,25
5,Sept,2023,5,44,18,20
9,Sept,2023,5,46,18,16
13,Sept,2023,5,47,18,11
17,Sept,2023,5,49,18,7
21,Sept,2023,5,50,18,2
25,Sept,2023,5,53,17,57
29,Sept,2023,5,55,17,52
3,Oct,2023,5,56,17,48
7,Oct,2023,5,59,17,43
11,Oct,2023,6,1,17,38
15,Oct,2023,6,3,17,35
19,Oct,2023,6,5,17,31
23,Oct,2023,6,8,17,27
27,Oct,2023,6,11,17,24
31,Oct,2023,6,13,17,20
4,Nov,2023,6,16,17,17
8,Nov,2023,6,19,17,14
12,Nov,2023,6,22,17,13
16,Nov,2023,6,25,17,11
20,Nov,2023,6,28,17,9
24,Nov,2023,6,31,17,8
28,Nov,2023,6,34,17,8
2,Dec,2023,6,38,17,8
6,Dec,2023,6,40,17,8
10,Dec,2023,6,43,17,8
14,Dec,2023,6,46,17,9
18,Dec,2023,6,49,17,11
22,Dec,2023,6,50,17,13
26,Dec,2023,6,52,17,15
30,Dec,2023,6,53,17,17
34,Dec,2023,6,55,17,20
