day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,7,1,17,23
4,Jan,2023,7,2,17,26
8,Jan,2023,7,3,17,29
12,Jan,2023,7,3,17,32
16,Jan,2023,7,3,17,35
20,Jan,2023,7,2,17,38
24,Jan,2023,7,1,17,42
28,Jan,2023,7,0,17,45
1,Feb,2023,6,58,17,49
5,Feb,2023,6,55,17,52
9,Feb,2023,6,52,17,55
13,Feb,2023,6,50,17,58
17,Feb,2023,6,47,18,1
21,Feb,2023,6,43,18,4
25,Feb,2023,6,39,18,7
1,Mar,2023,6,35,18,10
5,Mar,2023,6,31,18,11
9,Mar,2023,6,27,18,14
13,Mar,2023,6,22,18,17
17,Mar,2023,6,17,18,19
21,Mar,2023,6,13,18,21
25,Mar,2023,6,8,18,23
29,Mar,2023,6,4,18,26
2,Apr,2023,5,59,18,28
6,Apr,2023,5,55,18,29
10,Apr,2023,5,50,18,32
14,Apr,2023,5,46,18,34
18,Apr,2023,5,42,18,37
22,Apr,2023,5,37,18,38
26,Apr,2023,5,34,18,41
30,Apr,2023,5,31,18,43
4,May,2023,5,26,18,46
8,May,2023,5,24,18,49
12,May,2023,5,21,18,51
16,May,2023,5,18,18,53
20,May,2023,5,16,18,55
24,May,2023,5,14,18,58
28,May,2023,5,14,19,0
1,June,2023,5,13,19,2
5,June,2023,5,12,19,4
9,June,2023,5,11,19,6
13,June,2023,5,11,19,8
17,June,2023,5,12,19,9
21,June,2023,5,12,19,10
25,June,2023,5,13,19,11
29,June,2023,5,15,19,11
3,July,2023,5,16,19,11
7,July,2023,5,18,19,11
11,July,2023,5,20,19,10
15,July,2023,5,22,19,9
19,July,2023,5,23,19,7
23,July,2023,5,25,19,5
27,July,2023,5,28,19,4
31,July,2023,5,30,19,1
4,Aug,2023,5,33,18,58
8,Aug,2023,5,35,18,55
12,Aug,2023,5,37,18,52
16,Aug,2023,5,40,18,48
20,Aug,2023,5,41,18,44
24,Aug,2023,5,43,18,40
28,Aug,2023,5,46,18,36
1,Sept,2023,5,47,18,31
5,Sept,2023,5,49,18,26
9,Sept,2023,5,51,18,23
13,Sept,2023,5,53,18,18
17,Sept,2023,5,55,18,13
21,Sept,2023,5,56,18,8
25,Sept,2023,5,59,18,4
29,Sept,2023,6,1,17,59
3,Oct,2023,6,3,17,54
7,Oct,2023,6,5,17,49
11,Oct,2023,6,7,17,44
15,Oct,2023,6,10,17,41
19,Oct,2023,6,12,17,37
23,Oct,2023,6,15,17,33
27,Oct,2023,6,17,17,29
31,Oct,2023,6,20,17,25
4,Nov,2023,6,23,17,22
8,Nov,2023,6,26,17,20
12,Nov,2023,6,29,17,18
16,Nov,2023,6,32,17,16
20,Nov,2023,6,35,17,14
24,Nov,2023,6,38,17,13
28,Nov,2023,6,41,17,13
2,Dec,2023,6,45,17,13
6,Dec,2023,6,48,17,13
10,Dec,2023,6,51,17,13
14,Dec,2023,6,53,17,14
18,Dec,2023,6,56,17,16
22,Dec,2023,6,58,17,18
26,Dec,2023,7,0,17,20
30,Dec,2023,7,1,17,22
34,Dec,2023,7,2,17,25
