day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,7,10,17,32
4,Jan,2023,7,10,17,35
8,Jan,2023,7,11,17,38
12,Jan,2023,7,11,17,41
16,Jan,2023,7,11,17,45
20,Jan,2023,7,11,17,48
24,Jan,2023,7,9,17,52
28,Jan,2023,7,8,17,55
1,Feb,2023,7,7,17,58
5,Feb,2023,7,4,18,1
9,Feb,2023,7,1,18,4
13,Feb,2023,6,58,18,7
17,Feb,2023,6,55,18,10
21,Feb,2023,6,52,18,13
25,Feb,2023,6,47,18,16
1,Mar,2023,6,44,18,19
5,Mar,2023,6,39,18,20
9,Mar,2023,6,35,18,23
13,Mar,2023,6,31,18,26
17,Mar,2023,6,26,18,28
21,Mar,2023,6,22,18,30
25,Mar,2023,6,17,18,32
29,Mar,2023,6,13,18,34
2,Apr,2023,6,8,18,36
6,Apr,2023,6,4,18,38
10,Apr,2023,5,59,18,41
14,Apr,2023,5,55,18,43
18,Apr,2023,5,51,18,45
22,Apr,2023,5,46,18,47
26,Apr,2023,5,43,18,50
30,Apr,2023,5,40,18,52
4,May,2023,5,36,18,55
8,May,2023,5,33,18,57
12,May,2023,5,31,18,59
16,May,2023,5,28,19,2
20,May,2023,5,26,19,4
24,May,2023,5,24,19,7
28,May,2023,5,23,19,8
1,June,2023,5,22,19,10
5,June,2023,5,22,19,12
9,June,2023,5,20,19,14
13,June,2023,5,20,19,16
17,June,2023,5,22,19,17
21,June,2023,5,22,19,18
25,June,2023,5,23,19,19
29,June,2023,5,25,19,19
3,July,2023,5,26,19,19
7,July,2023,5,28,19,19
11,July,2023,5,29,19,18
15,July,2023,5,31,19,17
19,July,2023,5,33,19,16
23,July,2023,5,35,19,14
27,July,2023,5,38,19,12
31,July,2023,5,40,19,9
4,Aug,2023,5,42,19,7
8,Aug,2023,5,44,19,4
12,Aug,2023,5,46,19,1
16,Aug,2023,5,49,18,56
20,Aug,2023,5,50,18,53
24,Aug,2023,5,52,18,48
28,Aug,2023,5,55,18,44
1,Sept,2023,5,56,18,40
5,Sept,2023,5,58,18,35
9,Sept,2023,6,0,18,31
13,Sept,2023,6,2,18,26
17,Sept,2023,6,4,18,22
21,Sept,2023,6,5,18,17
25,Sept,2023,6,8,18,12
29,Sept,2023,6,10,18,7
3,Oct,2023,6,11,18,3
7,Oct,2023,6,14,17,58
11,Oct,2023,6,16,17,53
15,Oct,2023,6,18,17,50
19,Oct,2023,6,20,17,46
23,Oct,2023,6,23,17,42
27,Oct,2023,6,26,17,38
31,Oct,2023,6,29,17,35
4,Nov,2023,6,32,17,32
8,Nov,2023,6,35,17,29
12,Nov,2023,6,37,17,27
16,Nov,2023,6,40,17,25
20,Nov,2023,6,44,17,23
24,Nov,2023,6,47,17,23
28,Nov,2023,6,50,17,22
2,Dec,2023,6,53,17,22
6,Dec,2023,6,56,17,22
10,Dec,2023,6,59,17,22
14,Dec,2023,7,1,17,23
18,Dec,2023,7,4,17,25
22,Dec,2023,7,6,17,28
26,Dec,2023,7,8,17,29
30,Dec,2023,7,9,17,31
34,Dec,2023,7,10,17,34
