day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,6,49,17,14
4,Jan,2023,6,49,17,17
8,Jan,2023,6,50,17,20
12,Jan,2023,6,50,17,23
16,Jan,2023,6,50,17,26
20,Jan,2023,6,50,17,29
24,Jan,2023,6,48,17,33
28,Jan,2023,6,47,17,36
1,Feb,2023,6,46,17,40
5,Feb,2023,6,43,17,43
9,Feb,2023,6,40,17,45
13,Feb,2023,6,38,17,49
17,Feb,2023,6,35,17,52
21,Feb,2023,6,31,17,54
25,Feb,2023,6,28,17,56
1,Mar,2023,6,24,17,59
5,Mar,2023,6,19,18,1
9,Mar,2023,6,16,18,4
13,Mar,2023,6,11,18,6
17,Mar,2023,6,7,18,8
21,Mar,2023,6,2,18,10
25,Mar,2023,5,58,18,12
29,Mar,2023,5,53,18,14
2,Apr,2023,5,49,18,16
6,Apr,2023,5,44,18,18
10,Apr,2023,5,41,18,21
14,Apr,2023,5,36,18,23
18,Apr,2023,5,32,18,25
22,Apr,2023,5,28,18,27
26,Apr,2023,5,24,18,29
30,Apr,2023,5,21,18,31
4,May,2023,5,17,18,34
8,May,2023,5,15,18,37
12,May,2023,5,12,18,38
16,May,2023,5,10,18,41
20,May,2023,5,8,18,43
24,May,2023,5,6,18,46
28,May,2023,5,5,18,47
1,June,2023,5,4,18,49
5,June,2023,5,4,18,51
9,June,2023,5,2,18,53
13,June,2023,5,2,18,55
17,June,2023,5,4,18,56
21,June,2023,5,4,18,57
25,June,2023,5,5,18,58
29,June,2023,5,7,18,58
3,July,2023,5,8,18,58
7,July,2023,5,10,18,58
11,July,2023,5,11,18,57
15,July,2023,5,13,18,56
19,July,2023,5,15,18,55
23,July,2023,5,17,18,53
27,July,2023,5,20,18,51
31,July,2023,5,21,18,49
4,Aug,2023,5,24,18,46
8,Aug,2023,5,26,18,43
12,Aug,2023,5,28,18,40
16,Aug,2023,5,30,18,36
20,Aug,2023,5,32,18,32
24,Aug,2023,5,34,18,28
28,Aug,2023,5,36,18,24
1,Sept,2023,5,38,18,20
5,Sept,2023,5,40,18,15
9,Sept,2023,5,41,18,11
13,Sept,2023,5,43,18,7
17,Sept,2023,5,44,18,2
21,Sept,2023,5,46,17,58
25,Sept,2023,5,49,17,53
29,Sept,2023,5,50,17,48
3,Oct,2023,5,52,17,44
7,Oct,2023,5,55,17,39
11,Oct,2023,5,56,17,34
15,Oct,2023,5,58,17,31
19,Oct,2023,6,1,17,27
23,Oct,2023,6,3,17,23
27,Oct,2023,6,6,17,20
31,Oct,2023,6,8,17,16
4,Nov,2023,6,11,17,13
8,Nov,2023,6,14,17,11
12,Nov,2023,6,17,17,9
16,Nov,2023,6,19,17,7
20,Nov,2023,6,23,17,5
24,Nov,2023,6,26,17,5
28,Nov,2023,6,29,17,4
2,Dec,2023,6,32,17,4
6,Dec,2023,6,35,17,4
10,Dec,2023,6,38,17,4
14,Dec,2023,6,40,17,5
18,Dec,2023,6,43,17,7
22,Dec,2023,6,45,17,10
26,Dec,2023,6,47,17,11
30,Dec,2023,6,48,17,13
34,Dec,2023,6,49,17,16
