day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,7,1,17,22
4,Jan,2023,7,1,17,25
8,Jan,2023,7,2,17,28
12,Jan,2023,7,2,17,31
16,Jan,2023,7,2,17,35
20,Jan,2023,7,2,17,38
24,Jan,2023,7,0,17,42
28,Jan,2023,6,59,17,44
1,Feb,2023,6,57,17,49
5,Feb,2023,6,55,17,51
9,Feb,2023,6,52,17,54
13,Feb,2023,6,49,17,58
17,Feb,2023,6,46,18,1
21,Feb,2023,6,42,18,4
25,Feb,2023,6,38,18,6
1,Mar,2023,6,35,18,9
5,Mar,2023,6,30,18,11
9,Mar,2023,6,26,18,14
13,Mar,2023,6,22,18,16
17,Mar,2023,6,17,18,18
21,Mar,2023,6,12,18,20
25,Mar,2023,6,8,18,22
29,Mar,2023,6,4,18,25
2,Apr,2023,5,59,18,27
6,Apr,2023,5,54,18,29
10,Apr,2023,5,50,18,32
14,Apr,2023,5,45,18,34
18,Apr,2023,5,41,18,36
22,Apr,2023,5,37,18,38
26,Apr,2023,5,33,18,41
30,Apr,2023,5,30,18,43
4,May,2023,5,26,18,45
8,May,2023,5,23,18,48
12,May,2023,5,20,18,50
16,May,2023,5,18,18,53
20,May,2023,5,16,18,55
24,May,2023,5,14,18,58
28,May,2023,5,13,18,59
1,June,2023,5,12,19,1
5,June,2023,5,11,19,3
9,June,2023,5,11,19,5
13,June,2023,5,11,19,7
17,June,2023,5,11,19,8
21,June,2023,5,11,19,9
25,June,2023,5,13,19,10
29,June,2023,5,14,19,10
3,July,2023,5,16,19,10
7,July,2023,5,17,19,10
11,July,2023,5,19,19,9
15,July,2023,5,21,19,8
19,July,2023,5,23,19,7
23,July,2023,5,25,19,5
27,July,2023,5,28,19,2
31,July,2023,5,30,19,0
4,Aug,2023,5,32,18,57
8,Aug,2023,5,34,18,55
12,Aug,2023,5,36,18,52
16,Aug,2023,5,39,18,47
20,Aug,2023,5,41,18,44
24,Aug,2023,5,43,18,39
28,Aug,2023,5,45,18,35
1,Sept,2023,5,47,18,31
5,Sept,2023,5,49,18,26
9,Sept,2023,5,50,18,22
13,Sept,2023,5,53,18,17
17,Sept,2023,5,55,18,12
21,Sept,2023,5,56,18,8
25,Sept,2023,5,59,18,3
29,Sept,2023,6,1,17,58
3,Oct,2023,6,2,17,53
7,Oct,2023,6,5,17,49
11,Oct,2023,6,7,17,44
15,Oct,2023,6,9,17,40
19,Oct,2023,6,11,17,36
23,Oct,2023,6,14,17,32
27,Oct,2023,6,17,17,29
31,Oct,2023,6,20,17,25
4,Nov,2023,6,23,17,22
8,Nov,2023,6,25,17,19
12,Nov,2023,6,28,17,17
16,Nov,2023,6,31,17,16
20,Nov,2023,6,35,17,14
24,Nov,2023,6,38,17,13
28,Nov,2023,6,41,17,12
2,Dec,2023,6,44,17,12
6,Dec,2023,6,47,17,12
10,Dec,2023,6,50,17,13
14,Dec,2023,6,52,17,14
18,Dec,2023,6,55,17,16
22,Dec,2023,6,57,17,17
26,Dec,2023,6,59,17,19
30,Dec,2023,7,0,17,22
34,Dec,2023,7,1,17,25
