day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,6,54,17,21
4,Jan,2023,6,55,17,24
8,Jan,2023,6,56,17,26
12,Jan,2023,6,56,17,29
16,Jan,2023,6,56,17,33
20,Jan,2023,6,56,17,36
24,Jan,2023,6,54,17,40
28,Jan,2023,6,53,17,43
1,Feb,2023,6,52,17,46
5,Feb,2023,6,49,17,49
9,Feb,2023,6,46,17,52
13,Feb,2023,6,44,17,55
17,Feb,2023,6,41,17,58
21,Feb,2023,6,37,18,1
25,Feb,2023,6,34,18,3
1,Mar,2023,6,30,18,5
5,Mar,2023,6,25,18,7
9,Mar,2023,6,22,18,10
13,Mar,2023,6,17,18,13
17,Mar,2023,6,13,18,14
21,Mar,2023,6,8,18,16
25,Mar,2023,6,4,18,18
29,Mar,2023,5,59,18,20
2,Apr,2023,5,55,18,22
6,Apr,2023,5,50,18,24
10,Apr,2023,5,47,18,27
14,Apr,2023,5,42,18,29
18,Apr,2023,5,38,18,31
22,Apr,2023,5,34,18,32
26,Apr,2023,5,30,18,35
30,Apr,2023,5,28,18,37
4,May,2023,5,24,18,40
8,May,2023,5,21,18,42
12,May,2023,5,19,18,44
16,May,2023,5,16,18,47
20,May,2023,5,14,18,49
24,May,2023,5,12,18,51
28,May,2023,5,11,18,53
1,June,2023,5,10,18,55
5,June,2023,5,10,18,57
9,June,2023,5,9,18,59
13,June,2023,5,9,19,1
17,June,2023,5,10,19,2
21,June,2023,5,10,19,2
25,June,2023,5,11,19,4
29,June,2023,5,13,19,4
3,July,2023,5,14,19,4
7,July,2023,5,16,19,4
11,July,2023,5,18,19,3
15,July,2023,5,19,19,2
19,July,2023,5,22,19,1
23,July,2023,5,23,18,59
27,July,2023,5,26,18,56
31,July,2023,5,28,18,54
4,Aug,2023,5,30,18,52
8,Aug,2023,5,32,18,49
12,Aug,2023,5,34,18,46
16,Aug,2023,5,36,18,42
20,Aug,2023,5,38,18,38
24,Aug,2023,5,40,18,34
28,Aug,2023,5,42,18,30
1,Sept,2023,5,44,18,26
5,Sept,2023,5,46,18,21
9,Sept,2023,5,47,18,17
13,Sept,2023,5,49,18,13
17,Sept,2023,5,50,18,8
21,Sept,2023,5,52,18,4
25,Sept,2023,5,55,17,59
29,Sept,2023,5,56,17,54
3,Oct,2023,5,58,17,50
7,Oct,2023,6,1,17,45
11,Oct,2023,6,2,17,40
15,Oct,2023,6,4,17,37
19,Oct,2023,6,7,17,33
23,Oct,2023,6,9,17,29
27,Oct,2023,6,11,17,26
31,Oct,2023,6,14,17,22
4,Nov,2023,6,17,17,19
8,Nov,2023,6,20,17,17
12,Nov,2023,6,23,17,15
16,Nov,2023,6,25,17,13
20,Nov,2023,6,29,17,11
24,Nov,2023,6,32,17,11
28,Nov,2023,6,34,17,10
2,Dec,2023,6,38,17,10
6,Dec,2023,6,41,17,10
10,Dec,2023,6,44,17,11
14,Dec,2023,6,46,17,12
18,Dec,2023,6,49,17,14
22,Dec,2023,6,51,17,16
26,Dec,2023,6,53,17,18
30,Dec,2023,6,54,17,20
34,Dec,2023,6,55,17,23
