Month,Day,htFrom,mtFrom,hrise,mrise,hset,mset,htTo,mtTo
Jan,0,6,29,6,44,17,13,17,28
Jan,4,6,29,6,44,17,16,17,31
Jan,8,6,31,6,46,17,19,17,34
Jan,12,6,31,6,46,17,22,17,37
Jan,16,6,31,6,46,17,25,17,40
Jan,20,6,31,6,46,17,28,17,43
Jan,24,6,29,6,44,17,32,17,47
Jan,28,6,28,6,43,17,34,17,49
Feb,1,6,26,6,41,17,38,17,53
Feb,5,6,24,6,39,17,41,17,56
Feb,9,6,22,6,37,17,43,17,58
Feb,13,6,19,6,34,17,47,18,2
Feb,17,6,16,6,31,17,49,18,4
Feb,21,6,13,6,28,17,52,18,7
Feb,25,6,9,6,24,17,54,18,9
Mar,1,6,5,6,20,17,57,18,12
Mar,5,6,1,6,16,17,58,18,13
Mar,9,5,57,6,12,18,1,18,16
Mar,13,5,53,6,8,18,4,18,19
Mar,17,5,48,6,3,18,5,18,20
Mar,21,5,44,5,59,18,7,18,22
Mar,25,5,40,5,55,18,9,18,24
Mar,29,5,35,5,50,18,11,18,26
Apr,2,5,31,5,46,18,13,18,28
Apr,6,5,27,5,42,18,14,18,29
Apr,10,5,23,5,38,18,17,18,32
Apr,14,5,19,5,34,18,19,18,34
Apr,18,5,15,5,30,18,21,18,36
Apr,22,5,11,5,26,18,23,18,38
Apr,26,5,7,5,22,18,25,18,40
Apr,30,5,4,5,19,18,27,18,42
May,4,5,1,5,16,18,29,18,44
May,8,4,58,5,13,18,32,18,47
May,12,4,55,5,10,18,34,18,49
May,16,4,53,5,8,18,37,18,52
May,20,4,51,5,6,18,38,18,53
May,24,4,49,5,4,18,41,18,56
May,28,4,49,5,4,18,43,18,58
June,1,4,47,5,2,18,44,18,59
June,5,4,47,5,2,18,46,19,1
June,9,4,46,5,1,18,48,19,3
June,13,4,46,5,1,18,50,19,5
June,17,4,47,5,2,18,51,19,6
June,21,4,47,5,2,18,52,19,7
June,25,4,49,5,4,18,53,19,8
June,29,4,50,5,5,18,53,19,8
July,3,4,52,5,7,18,53,19,8
July,7,4,53,5,8,18,53,19,8
July,11,4,55,5,10,18,52,19,7
July,15,4,56,5,11,18,52,19,7
July,19,4,59,5,14,18,50,19,5
July,23,5,1,5,16,18,49,19,4
July,27,5,3,5,18,18,46,19,1
July,31,5,5,5,20,18,44,18,59
Aug,4,5,7,5,22,18,41,18,56
Aug,8,5,9,5,24,18,39,18,54
Aug,12,5,11,5,26,18,36,18,51
Aug,16,5,13,5,28,18,32,18,47
Aug,20,5,14,5,29,18,28,18,43
Aug,24,5,16,5,31,18,24,18,39
Aug,28,5,19,5,34,18,20,18,35
Sept,1,5,20,5,35,18,16,18,31
Sept,5,5,22,5,37,18,11,18,26
Sept,9,5,23,5,38,18,8,18,23
Sept,13,5,25,5,40,18,3,18,18
Sept,17,5,26,5,41,17,59,18,14
Sept,21,5,28,5,43,17,54,18,9
Sept,25,5,30,5,45,17,50,18,5
Sept,29,5,32,5,47,17,45,18,0
Oct,3,5,34,5,49,17,41,17,56
Oct,7,5,36,5,51,17,36,17,51
Oct,11,5,38,5,53,17,32,17,47
Oct,15,5,40,5,55,17,28,17,43
Oct,19,5,42,5,57,17,25,17,40
Oct,23,5,44,5,59,17,21,17,36
Oct,27,5,47,6,2,17,17,17,32
Oct,31,5,49,6,4,17,14,17,29
Nov,4,5,52,6,7,17,11,17,26
Nov,8,5,55,6,10,17,9,17,24
Nov,12,5,58,6,13,17,7,17,22
Nov,16,6,0,6,15,17,5,17,20
Nov,20,6,4,6,19,17,4,17,19
Nov,24,6,7,6,22,17,3,17,18
Nov,28,6,9,6,24,17,2,17,17
Dec,2,6,13,6,28,17,2,17,17
Dec,6,6,15,6,30,17,2,17,17
Dec,10,6,18,6,33,17,3,17,18
Dec,14,6,20,6,35,17,4,17,19
Dec,18,6,23,6,38,17,6,17,21
Dec,22,6,25,6,40,17,8,17,23
Dec,26,6,27,6,42,17,10,17,25
Dec,30,6,28,6,43,17,12,17,27
Dec,34,6,29,6,44,17,15,17,30
