Month,Day,htFrom,mtFrom,hrise,mrise,hset,mset,htTo,mtTo
Jan,0,6,38,6,53,17,18,17,33
Jan,4,6,40,6,55,17,21,17,36
Jan,8,6,41,6,56,17,24,17,39
Jan,12,6,41,6,56,17,27,17,42
Jan,16,6,41,6,56,17,31,17,46
Jan,20,6,40,6,55,17,34,17,49
Jan,24,6,38,6,53,17,37,17,52
Jan,28,6,38,6,53,17,40,17,55
Feb,1,6,36,6,51,17,44,17,59
Feb,5,6,33,6,48,17,46,18,1
Feb,9,6,31,6,46,17,49,18,4
Feb,13,6,28,6,43,17,53,18,8
Feb,17,6,25,6,40,17,56,18,11
Feb,21,6,21,6,36,17,58,18,13
Feb,25,6,17,6,32,18,1,18,16
Mar,1,6,14,6,29,18,4,18,19
Mar,5,6,9,6,24,18,5,18,20
Mar,9,6,5,6,20,18,8,18,23
Mar,13,6,1,6,16,18,11,18,26
Mar,17,5,56,6,11,18,13,18,28
Mar,21,5,52,6,7,18,15,18,30
Mar,25,5,47,6,2,18,17,18,32
Mar,29,5,43,5,58,18,19,18,34
Apr,2,5,38,5,53,18,21,18,36
Apr,6,5,34,5,49,18,23,18,38
Apr,10,5,30,5,45,18,26,18,41
Apr,14,5,25,5,40,18,28,18,43
Apr,18,5,22,5,37,18,30,18,45
Apr,22,5,17,5,32,18,32,18,47
Apr,26,5,13,5,28,18,34,18,49
Apr,30,5,10,5,25,18,36,18,51
May,4,5,7,5,22,18,39,18,54
May,8,5,4,5,19,18,41,18,56
May,12,5,1,5,16,18,44,18,59
May,16,4,58,5,13,18,46,19,1
May,20,4,56,5,11,18,48,19,3
May,24,4,55,5,10,18,50,19,5
May,28,4,54,5,9,18,53,19,8
June,1,4,53,5,8,18,55,19,10
June,5,4,52,5,7,18,56,19,11
June,9,4,52,5,7,18,58,19,13
June,13,4,52,5,7,19,0,19,15
June,17,4,52,5,7,19,1,19,16
June,21,4,52,5,7,19,2,19,17
June,25,4,53,5,8,19,3,19,18
June,29,4,55,5,10,19,3,19,18
July,3,4,56,5,11,19,4,19,19
July,7,4,58,5,13,19,4,19,19
July,11,5,0,5,15,19,2,19,17
July,15,5,2,5,17,19,2,19,17
July,19,5,4,5,19,19,0,19,15
July,23,5,5,5,20,18,58,19,13
July,27,5,8,5,23,18,56,19,11
July,31,5,10,5,25,18,53,19,8
Aug,4,5,13,5,28,18,51,19,6
Aug,8,5,15,5,30,18,48,19,3
Aug,12,5,16,5,31,18,45,19,0
Aug,16,5,19,5,34,18,41,18,56
Aug,20,5,21,5,36,18,37,18,52
Aug,24,5,23,5,38,18,33,18,48
Aug,28,5,25,5,40,18,29,18,44
Sept,1,5,27,5,42,18,25,18,40
Sept,5,5,29,5,44,18,20,18,35
Sept,9,5,31,5,46,18,16,18,31
Sept,13,5,32,5,47,18,11,18,26
Sept,17,5,34,5,49,18,7,18,22
Sept,21,5,36,5,51,18,2,18,17
Sept,25,5,38,5,53,17,57,18,12
Sept,29,5,40,5,55,17,52,18,7
Oct,3,5,41,5,56,17,48,18,3
Oct,7,5,44,5,59,17,43,17,58
Oct,11,5,46,6,1,17,38,17,53
Oct,15,5,48,6,3,17,35,17,50
Oct,19,5,50,6,5,17,31,17,46
Oct,23,5,53,6,8,17,28,17,43
Oct,27,5,56,6,11,17,24,17,39
Oct,31,5,58,6,13,17,20,17,35
Nov,4,6,1,6,16,17,17,17,32
Nov,8,6,4,6,19,17,15,17,30
Nov,12,6,7,6,22,17,13,17,28
Nov,16,6,10,6,25,17,11,17,26
Nov,20,6,13,6,28,17,9,17,24
Nov,24,6,16,6,31,17,8,17,23
Nov,28,6,19,6,34,17,8,17,23
Dec,2,6,23,6,38,17,8,17,23
Dec,6,6,25,6,40,17,8,17,23
Dec,10,6,28,6,43,17,8,17,23
Dec,14,6,31,6,46,17,10,17,25
Dec,18,6,34,6,49,17,11,17,26
Dec,22,6,35,6,50,17,13,17,28
Dec,26,6,37,6,52,17,15,17,30
Dec,30,6,38,6,53,17,17,17,32
Dec,34,6,40,6,55,17,20,17,35
