Month,Day,htFrom,mtFrom,hrise,mrise,hset,mset,htTo,mtTo
Jan,0,6,55,7,10,17,32,17,47
Jan,4,6,55,7,10,17,35,17,50
Jan,8,6,56,7,11,17,38,17,53
Jan,12,6,56,7,11,17,41,17,56
Jan,16,6,56,7,11,17,45,18,0
Jan,20,6,56,7,11,17,48,18,3
Jan,24,6,54,7,9,17,52,18,7
Jan,28,6,53,7,8,17,55,18,10
Feb,1,6,52,7,7,17,58,18,13
Feb,5,6,49,7,4,18,1,18,16
Feb,9,6,46,7,1,18,4,18,19
Feb,13,6,43,6,58,18,7,18,22
Feb,17,6,40,6,55,18,10,18,25
Feb,21,6,37,6,52,18,13,18,28
Feb,25,6,32,6,47,18,16,18,31
Mar,1,6,29,6,44,18,19,18,34
Mar,5,6,24,6,39,18,20,18,35
Mar,9,6,20,6,35,18,23,18,38
Mar,13,6,16,6,31,18,26,18,41
Mar,17,6,11,6,26,18,28,18,43
Mar,21,6,7,6,22,18,30,18,45
Mar,25,6,2,6,17,18,32,18,47
Mar,29,5,58,6,13,18,34,18,49
Apr,2,5,53,6,8,18,36,18,51
Apr,6,5,49,6,4,18,38,18,53
Apr,10,5,44,5,59,18,41,18,56
Apr,14,5,40,5,55,18,43,18,58
Apr,18,5,36,5,51,18,45,19,0
Apr,22,5,31,5,46,18,47,19,2
Apr,26,5,28,5,43,18,50,19,5
Apr,30,5,25,5,40,18,52,19,7
May,4,5,21,5,36,18,55,19,10
May,8,5,18,5,33,18,57,19,12
May,12,5,16,5,31,18,59,19,14
May,16,5,13,5,28,19,2,19,17
May,20,5,11,5,26,19,4,19,19
May,24,5,9,5,24,19,7,19,22
May,28,5,8,5,23,19,8,19,23
June,1,5,7,5,22,19,10,19,25
June,5,5,7,5,22,19,12,19,27
June,9,5,5,5,20,19,14,19,29
June,13,5,5,5,20,19,16,19,31
June,17,5,7,5,22,19,17,19,32
June,21,5,7,5,22,19,18,19,33
June,25,5,8,5,23,19,19,19,34
June,29,5,10,5,25,19,19,19,34
July,3,5,11,5,26,19,19,19,34
July,7,5,13,5,28,19,19,19,34
July,11,5,14,5,29,19,18,19,33
July,15,5,16,5,31,19,17,19,32
July,19,5,18,5,33,19,16,19,31
July,23,5,20,5,35,19,14,19,29
July,27,5,23,5,38,19,12,19,27
July,31,5,25,5,40,19,9,19,24
Aug,4,5,27,5,42,19,7,19,22
Aug,8,5,29,5,44,19,4,19,19
Aug,12,5,31,5,46,19,1,19,16
Aug,16,5,34,5,49,18,56,19,11
Aug,20,5,35,5,50,18,53,19,8
Aug,24,5,37,5,52,18,48,19,3
Aug,28,5,40,5,55,18,44,18,59
Sept,1,5,41,5,56,18,40,18,55
Sept,5,5,43,5,58,18,35,18,50
Sept,9,5,45,6,0,18,31,18,46
Sept,13,5,47,6,2,18,26,18,41
Sept,17,5,49,6,4,18,22,18,37
Sept,21,5,50,6,5,18,17,18,32
Sept,25,5,53,6,8,18,12,18,27
Sept,29,5,55,6,10,18,7,18,22
Oct,3,5,56,6,11,18,3,18,18
Oct,7,5,59,6,14,17,58,18,13
Oct,11,6,1,6,16,17,53,18,8
Oct,15,6,3,6,18,17,50,18,5
Oct,19,6,5,6,20,17,46,18,1
Oct,23,6,8,6,23,17,42,17,57
Oct,27,6,11,6,26,17,38,17,53
Oct,31,6,14,6,29,17,35,17,50
Nov,4,6,17,6,32,17,32,17,47
Nov,8,6,20,6,35,17,29,17,44
Nov,12,6,22,6,37,17,27,17,42
Nov,16,6,25,6,40,17,25,17,40
Nov,20,6,29,6,44,17,23,17,38
Nov,24,6,32,6,47,17,23,17,38
Nov,28,6,35,6,50,17,22,17,37
Dec,2,6,38,6,53,17,22,17,37
Dec,6,6,41,6,56,17,22,17,37
Dec,10,6,44,6,59,17,22,17,37
Dec,14,6,46,7,1,17,23,17,38
Dec,18,6,49,7,4,17,25,17,40
Dec,22,6,51,7,6,17,28,17,43
Dec,26,6,53,7,8,17,29,17,44
Dec,30,6,54,7,9,17,31,17,46
Dec,34,6,55,7,10,17,34,17,49
