Month,Day,htFrom,mtFrom,hrise,mrise,hset,mset,htTo,mtTo
Jan,0,6,46,7,1,17,22,17,37
Jan,4,6,46,7,1,17,25,17,40
Jan,8,6,47,7,2,17,28,17,43
Jan,12,6,47,7,2,17,31,17,46
Jan,16,6,47,7,2,17,35,17,50
Jan,20,6,47,7,2,17,38,17,53
Jan,24,6,45,7,0,17,42,17,57
Jan,28,6,44,6,59,17,44,17,59
Feb,1,6,42,6,57,17,49,18,4
Feb,5,6,40,6,55,17,51,18,6
Feb,9,6,37,6,52,17,54,18,9
Feb,13,6,34,6,49,17,58,18,13
Feb,17,6,31,6,46,18,1,18,16
Feb,21,6,27,6,42,18,4,18,19
Feb,25,6,23,6,38,18,6,18,21
Mar,1,6,20,6,35,18,9,18,24
Mar,5,6,15,6,30,18,11,18,26
Mar,9,6,11,6,26,18,14,18,29
Mar,13,6,7,6,22,18,16,18,31
Mar,17,6,2,6,17,18,18,18,33
Mar,21,5,57,6,12,18,20,18,35
Mar,25,5,53,6,8,18,22,18,37
Mar,29,5,49,6,4,18,25,18,40
Apr,2,5,44,5,59,18,27,18,42
Apr,6,5,39,5,54,18,29,18,44
Apr,10,5,35,5,50,18,32,18,47
Apr,14,5,30,5,45,18,34,18,49
Apr,18,5,26,5,41,18,36,18,51
Apr,22,5,22,5,37,18,38,18,53
Apr,26,5,18,5,33,18,41,18,56
Apr,30,5,15,5,30,18,43,18,58
May,4,5,11,5,26,18,45,19,0
May,8,5,8,5,23,18,48,19,3
May,12,5,5,5,20,18,50,19,5
May,16,5,3,5,18,18,53,19,8
May,20,5,1,5,16,18,55,19,10
May,24,4,59,5,14,18,58,19,13
May,28,4,58,5,13,18,59,19,14
June,1,4,57,5,12,19,1,19,16
June,5,4,56,5,11,19,3,19,18
June,9,4,56,5,11,19,5,19,20
June,13,4,56,5,11,19,7,19,22
June,17,4,56,5,11,19,8,19,23
June,21,4,56,5,11,19,9,19,24
June,25,4,58,5,13,19,10,19,25
June,29,4,59,5,14,19,10,19,25
July,3,5,1,5,16,19,10,19,25
July,7,5,2,5,17,19,10,19,25
July,11,5,4,5,19,19,9,19,24
July,15,5,6,5,21,19,8,19,23
July,19,5,8,5,23,19,7,19,22
July,23,5,10,5,25,19,5,19,20
July,27,5,13,5,28,19,2,19,17
July,31,5,15,5,30,19,0,19,15
Aug,4,5,17,5,32,18,57,19,12
Aug,8,5,19,5,34,18,55,19,10
Aug,12,5,21,5,36,18,52,19,7
Aug,16,5,24,5,39,18,47,19,2
Aug,20,5,26,5,41,18,44,18,59
Aug,24,5,28,5,43,18,39,18,54
Aug,28,5,30,5,45,18,35,18,50
Sept,1,5,32,5,47,18,31,18,46
Sept,5,5,34,5,49,18,26,18,41
Sept,9,5,35,5,50,18,22,18,37
Sept,13,5,38,5,53,18,17,18,32
Sept,17,5,40,5,55,18,12,18,27
Sept,21,5,41,5,56,18,8,18,23
Sept,25,5,44,5,59,18,3,18,18
Sept,29,5,46,6,1,17,58,18,13
Oct,3,5,47,6,2,17,53,18,8
Oct,7,5,50,6,5,17,49,18,4
Oct,11,5,52,6,7,17,44,17,59
Oct,15,5,54,6,9,17,40,17,55
Oct,19,5,56,6,11,17,36,17,51
Oct,23,5,59,6,14,17,32,17,47
Oct,27,6,2,6,17,17,29,17,44
Oct,31,6,5,6,20,17,25,17,40
Nov,4,6,8,6,23,17,22,17,37
Nov,8,6,10,6,25,17,19,17,34
Nov,12,6,13,6,28,17,17,17,32
Nov,16,6,16,6,31,17,16,17,31
Nov,20,6,20,6,35,17,14,17,29
Nov,24,6,23,6,38,17,13,17,28
Nov,28,6,26,6,41,17,12,17,27
Dec,2,6,29,6,44,17,12,17,27
Dec,6,6,32,6,47,17,12,17,27
Dec,10,6,35,6,50,17,13,17,28
Dec,14,6,37,6,52,17,14,17,29
Dec,18,6,40,6,55,17,16,17,31
Dec,22,6,42,6,57,17,17,17,32
Dec,26,6,44,6,59,17,19,17,34
Dec,30,6,45,7,0,17,22,17,37
Dec,34,6,46,7,1,17,25,17,40
