Month,Day,htFrom,mtFrom,hrise,mrise,hset,mset,htTo,mtTo
Jan,0,6,29,6,44,17,10,17,25
Jan,4,6,30,6,45,17,13,17,28
Jan,8,6,31,6,46,17,16,17,31
Jan,12,6,31,6,46,17,19,17,34
Jan,16,6,31,6,46,17,22,17,37
Jan,20,6,30,6,45,17,25,17,40
Jan,24,6,29,6,44,17,29,17,44
Jan,28,6,28,6,43,17,31,17,46
Feb,1,6,26,6,41,17,35,17,50
Feb,5,6,23,6,38,17,38,17,53
Feb,9,6,21,6,36,17,40,17,55
Feb,13,6,18,6,33,17,44,17,59
Feb,17,6,15,6,30,17,47,18,2
Feb,21,6,11,6,26,17,49,18,4
Feb,25,6,8,6,23,17,52,18,7
Mar,1,6,4,6,19,17,55,18,10
Mar,5,5,59,6,14,17,56,18,11
Mar,9,5,56,6,11,17,59,18,14
Mar,13,5,52,6,7,18,2,18,17
Mar,17,5,47,6,2,18,3,18,18
Mar,21,5,42,5,57,18,6,18,21
Mar,25,5,38,5,53,18,7,18,22
Mar,29,5,34,5,49,18,10,18,25
Apr,2,5,29,5,44,18,11,18,26
Apr,6,5,25,5,40,18,13,18,28
Apr,10,5,21,5,36,18,16,18,31
Apr,14,5,16,5,31,18,18,18,33
Apr,18,5,13,5,28,18,20,18,35
Apr,22,5,8,5,23,18,22,18,37
Apr,26,5,4,5,19,18,25,18,40
Apr,30,5,1,5,16,18,26,18,41
May,4,4,58,5,13,18,29,18,44
May,8,4,55,5,10,18,32,18,47
May,12,4,52,5,7,18,34,18,49
May,16,4,50,5,5,18,36,18,51
May,20,4,48,5,3,18,38,18,53
May,24,4,46,5,1,18,41,18,56
May,28,4,46,5,1,18,43,18,58
June,1,4,44,4,59,18,45,19,0
June,5,4,44,4,59,18,46,19,1
June,9,4,43,4,58,18,49,19,4
June,13,4,43,4,58,18,50,19,5
June,17,4,44,4,59,18,51,19,6
June,21,4,44,4,59,18,52,19,7
June,25,4,45,5,0,18,53,19,8
June,29,4,47,5,2,18,53,19,8
July,3,4,48,5,3,18,53,19,8
July,7,4,50,5,5,18,53,19,8
July,11,4,52,5,7,18,52,19,7
July,15,4,53,5,8,18,52,19,7
July,19,4,55,5,10,18,50,19,5
July,23,4,57,5,12,18,48,19,3
July,27,5,0,5,15,18,46,19,1
July,31,5,2,5,17,18,44,18,59
Aug,4,5,4,5,19,18,41,18,56
Aug,8,5,6,5,21,18,38,18,53
Aug,12,5,8,5,23,18,35,18,50
Aug,16,5,10,5,25,18,32,18,47
Aug,20,5,12,5,27,18,28,18,43
Aug,24,5,14,5,29,18,23,18,38
Aug,28,5,16,5,31,18,20,18,35
Sept,1,5,18,5,33,18,15,18,30
Sept,5,5,20,5,35,18,10,18,25
Sept,9,5,22,5,37,18,7,18,22
Sept,13,5,23,5,38,18,2,18,17
Sept,17,5,25,5,40,17,57,18,12
Sept,21,5,26,5,41,17,53,18,8
Sept,25,5,29,5,44,17,48,18,3
Sept,29,5,31,5,46,17,43,17,58
Oct,3,5,32,5,47,17,39,17,54
Oct,7,5,35,5,50,17,34,17,49
Oct,11,5,37,5,52,17,29,17,44
Oct,15,5,38,5,53,17,26,17,41
Oct,19,5,41,5,56,17,22,17,37
Oct,23,5,43,5,58,17,19,17,34
Oct,27,5,46,6,1,17,15,17,30
Oct,31,5,49,6,4,17,11,17,26
Nov,4,5,52,6,7,17,8,17,23
Nov,8,5,55,6,10,17,6,17,21
Nov,12,5,57,6,12,17,4,17,19
Nov,16,6,0,6,15,17,2,17,17
Nov,20,6,3,6,18,17,1,17,16
Nov,24,6,6,6,21,17,0,17,15
Nov,28,6,9,6,24,16,59,17,14
Dec,2,6,13,6,28,16,59,17,14
Dec,6,6,16,6,31,16,59,17,14
Dec,10,6,19,6,34,16,59,17,14
Dec,14,6,20,6,35,17,1,17,16
Dec,18,6,23,6,38,17,2,17,17
Dec,22,6,25,6,40,17,5,17,20
Dec,26,6,27,6,42,17,7,17,22
Dec,30,6,28,6,43,17,8,17,23
Dec,34,6,30,6,45,17,11,17,26
