Month,Day,h,m
Jan,0,7,0
Jan,4,7,1
Jan,8,7,3
Jan,12,7,3
Jan,16,7,3
Jan,20,7,2
Jan,24,7,0
Jan,28,7,0
Feb,1,6,58
Feb,5,6,55
Feb,9,6,52
Feb,13,6,50
Feb,17,6,47
Feb,21,6,43
Feb,25,6,40
Mar,1,6,36
Mar,5,6,31
Mar,9,6,28
Mar,13,6,23
Mar,17,6,18
Mar,21,6,14
Mar,25,6,10
Mar,29,6,6
Apr,2,6,1
Apr,6,5,56
Apr,10,5,52
Apr,14,5,48
Apr,18,5,44
Apr,22,5,39
Apr,26,5,36
Apr,30,5,33
May,4,5,29
May,8,5,27
May,12,5,24
May,16,5,21
May,20,5,19
May,24,5,18
May,28,5,17
June,1,5,16
June,5,5,15
June,9,5,15
June,13,5,15
June,17,5,15
June,21,5,15
June,25,5,16
June,29,5,18
July,3,5,19
July,7,5,21
July,11,5,23
July,15,5,25
July,19,5,27
July,23,5,28
July,27,5,31
July,31,5,33
Aug,4,5,36
Aug,8,5,37
Aug,12,5,39
Aug,16,5,42
Aug,20,5,43
Aug,24,5,45
Aug,28,5,48
Sept,1,5,49
Sept,5,5,51
Sept,9,5,53
Sept,13,5,55
Sept,17,5,57
Sept,21,5,58
Sept,25,6,0
Sept,29,6,2
Oct,3,6,4
Oct,7,6,6
Oct,11,6,8
Oct,15,6,10
Oct,19,6,13
Oct,23,6,15
Oct,27,6,18
Oct,31,6,21
Nov,4,6,23
Nov,8,6,26
Nov,12,6,29
Nov,16,6,31
Nov,20,6,35
Nov,24,6,38
Nov,28,6,41
Dec,2,6,45
Dec,6,6,47
Dec,10,6,50
Dec,14,6,52
Dec,18,6,55
Dec,22,6,57
Dec,26,6,59
Dec,30,7,0
Dec,34,7,1
