Month,Day,h,m
Jan,0,6,45
Jan,4,6,46
Jan,8,6,47
Jan,12,6,47
Jan,16,6,48
Jan,20,6,46
Jan,24,6,45
Jan,28,6,44
Feb,1,6,42
Feb,5,6,40
Feb,9,6,37
Feb,13,6,34
Feb,17,6,31
Feb,21,6,28
Feb,25,6,24
Mar,1,6,21
Mar,5,6,16
Mar,9,6,12
Mar,13,6,8
Mar,17,6,3
Mar,21,5,58
Mar,25,5,55
Mar,29,5,50
Apr,2,5,45
Apr,6,5,41
Apr,10,5,37
Apr,14,5,33
Apr,18,5,28
Apr,22,5,24
Apr,26,5,21
Apr,30,5,18
May,4,5,14
May,8,5,11
May,12,5,9
May,16,5,6
May,20,5,4
May,24,5,2
May,28,5,1
June,1,5,0
June,5,5,0
June,9,4,59
June,13,4,59
June,17,5,0
June,21,5,0
June,25,5,1
June,29,5,3
July,3,5,4
July,7,5,6
July,11,5,7
July,15,5,9
July,19,5,12
July,23,5,13
July,27,5,16
July,31,5,18
Aug,4,5,20
Aug,8,5,22
Aug,12,5,24
Aug,16,5,27
Aug,20,5,28
Aug,24,5,30
Aug,28,5,33
Sept,1,5,34
Sept,5,5,36
Sept,9,5,37
Sept,13,5,39
Sept,17,5,41
Sept,21,5,43
Sept,25,5,45
Sept,29,5,47
Oct,3,5,48
Oct,7,5,51
Oct,11,5,52
Oct,15,5,55
Oct,19,5,57
Oct,23,6,0
Oct,27,6,3
Oct,31,6,5
Nov,4,6,8
Nov,8,6,10
Nov,12,6,13
Nov,16,6,16
Nov,20,6,19
Nov,24,6,22
Nov,28,6,25
Dec,2,6,29
Dec,6,6,32
Dec,10,6,35
Dec,14,6,37
Dec,18,6,40
Dec,22,6,42
Dec,26,6,43
Dec,30,6,45
Dec,34,6,46
