Month,Day,h,m
Jan,0,6,52
Jan,4,6,54
Jan,8,6,55
Jan,12,6,55
Jan,16,6,55
Jan,20,6,54
Jan,24,6,52
Jan,28,6,52
Feb,1,6,50
Feb,5,6,47
Feb,9,6,45
Feb,13,6,42
Feb,17,6,39
Feb,21,6,36
Feb,25,6,32
Mar,1,6,28
Mar,5,6,24
Mar,9,6,20
Mar,13,6,15
Mar,17,6,10
Mar,21,6,6
Mar,25,6,2
Mar,29,5,58
Apr,2,5,53
Apr,6,5,48
Apr,10,5,45
Apr,14,5,40
Apr,18,5,36
Apr,22,5,31
Apr,26,5,28
Apr,30,5,25
May,4,5,21
May,8,5,19
May,12,5,16
May,16,5,13
May,20,5,12
May,24,5,10
May,28,5,9
June,1,5,8
June,5,5,7
June,9,5,7
June,13,5,7
June,17,5,7
June,21,5,7
June,25,5,9
June,29,5,10
July,3,5,12
July,7,5,13
July,11,5,15
July,15,5,17
July,19,5,19
July,23,5,21
July,27,5,24
July,31,5,25
Aug,4,5,28
Aug,8,5,30
Aug,12,5,31
Aug,16,5,34
Aug,20,5,36
Aug,24,5,37
Aug,28,5,40
Sept,1,5,42
Sept,5,5,43
Sept,9,5,45
Sept,13,5,47
Sept,17,5,49
Sept,21,5,51
Sept,25,5,52
Sept,29,5,54
Oct,3,5,56
Oct,7,5,58
Oct,11,6,0
Oct,15,6,3
Oct,19,6,5
Oct,23,6,7
Oct,27,6,10
Oct,31,6,13
Nov,4,6,16
Nov,8,6,18
Nov,12,6,21
Nov,16,6,24
Nov,20,6,27
Nov,24,6,30
Nov,28,6,33
Dec,2,6,37
Dec,6,6,39
Dec,10,6,42
Dec,14,6,45
Dec,18,6,48
Dec,22,6,49
Dec,26,6,51
Dec,30,6,52
Dec,34,6,54
