Month,Day,h,m
Jan,0,6,58
Jan,4,6,59
Jan,8,7,0
Jan,12,7,0
Jan,16,7,0
Jan,20,7,0
Jan,24,6,58
Jan,28,6,57
Feb,1,6,55
Feb,5,6,53
Feb,9,6,50
Feb,13,6,48
Feb,17,6,45
Feb,21,6,41
Feb,25,6,37
Mar,1,6,34
Mar,5,6,29
Mar,9,6,25
Mar,13,6,21
Mar,17,6,16
Mar,21,6,12
Mar,25,6,7
Mar,29,6,3
Apr,2,5,58
Apr,6,5,54
Apr,10,5,50
Apr,14,5,45
Apr,18,5,42
Apr,22,5,37
Apr,26,5,33
Apr,30,5,31
May,4,5,27
May,8,5,24
May,12,5,22
May,16,5,19
May,20,5,17
May,24,5,15
May,28,5,15
June,1,5,13
June,5,5,13
June,9,5,12
June,13,5,12
June,17,5,13
June,21,5,13
June,25,5,14
June,29,5,16
July,3,5,17
July,7,5,19
July,11,5,21
July,15,5,22
July,19,5,25
July,23,5,26
July,27,5,29
July,31,5,31
Aug,4,5,33
Aug,8,5,35
Aug,12,5,37
Aug,16,5,39
Aug,20,5,41
Aug,24,5,43
Aug,28,5,45
Sept,1,5,47
Sept,5,5,49
Sept,9,5,51
Sept,13,5,52
Sept,17,5,54
Sept,21,5,56
Sept,25,5,58
Sept,29,6,0
Oct,3,6,1
Oct,7,6,4
Oct,11,6,6
Oct,15,6,8
Oct,19,6,10
Oct,23,6,13
Oct,27,6,16
Oct,31,6,18
Nov,4,6,21
Nov,8,6,24
Nov,12,6,27
Nov,16,6,29
Nov,20,6,33
Nov,24,6,36
Nov,28,6,39
Dec,2,6,42
Dec,6,6,45
Dec,10,6,48
Dec,14,6,50
Dec,18,6,53
Dec,22,6,55
Dec,26,6,57
Dec,30,6,58
Dec,34,6,59
