day,month,year,rise_hour,rise_minute,set_hour,set_minute
0,Jan,2023,6,44,17,10
4,Jan,2023,6,45,17,13
8,Jan,2023,6,46,17,16
12,Jan,2023,6,46,17,19
16,Jan,2023,6,46,17,22
20,Jan,2023,6,45,17,25
24,Jan,2023,6,44,17,29
28,Jan,2023,6,43,17,31
1,Feb,2023,6,41,17,35
5,Feb,2023,6,38,17,38
9,Feb,2023,6,36,17,40
13,Feb,2023,6,33,17,44
17,Feb,2023,6,30,17,47
21,Feb,2023,6,26,17,49
25,Feb,2023,6,23,17,52
1,Mar,2023,6,19,17,55
5,Mar,2023,6,14,17,56
9,Mar,2023,6,11,17,59
13,Mar,2023,6,7,18,2
17,Mar,2023,6,2,18,3
21,Mar,2023,5,57,18,6
25,Mar,2023,5,53,18,7
29,Mar,2023,5,49,18,10
2,Apr,2023,5,44,18,11
6,Apr,2023,5,40,18,13
10,Apr,2023,5,36,18,16
14,Apr,2023,5,31,18,18
18,Apr,2023,5,28,18,20
22,Apr,2023,5,23,18,22
26,Apr,2023,5,19,18,25
30,Apr,2023,5,16,18,26
4,May,2023,5,13,18,29
8,May,2023,5,10,18,32
12,May,2023,5,7,18,34
16,May,2023,5,5,18,36
20,May,2023,5,3,18,38
24,May,2023,5,1,18,41
28,May,2023,5,1,18,43
1,June,2023,4,59,18,45
5,June,2023,4,59,18,46
9,June,2023,4,58,18,49
13,June,2023,4,58,18,50
17,June,2023,4,59,18,51
21,June,2023,4,59,18,52
25,June,2023,5,0,18,53
29,June,2023,5,2,18,53
3,July,2023,5,3,18,53
7,July,2023,5,5,18,53
11,July,2023,5,7,18,52
15,July,2023,5,8,18,52
19,July,2023,5,10,18,50
23,July,2023,5,12,18,48
27,July,2023,5,15,18,46
31,July,2023,5,17,18,44
4,Aug,2023,5,19,18,41
8,Aug,2023,5,21,18,38
12,Aug,2023,5,23,18,35
16,Aug,2023,5,25,18,32
20,Aug,2023,5,27,18,28
24,Aug,2023,5,29,18,23
28,Aug,2023,5,31,18,20
1,Sept,2023,5,33,18,15
5,Sept,2023,5,35,18,10
9,Sept,2023,5,37,18,7
13,Sept,2023,5,38,18,2
17,Sept,2023,5,40,17,57
21,Sept,2023,5,41,17,53
25,Sept,2023,5,44,17,48
29,Sept,2023,5,46,17,43
3,Oct,2023,5,47,17,39
7,Oct,2023,5,50,17,34
11,Oct,2023,5,52,17,29
15,Oct,2023,5,53,17,26
19,Oct,2023,5,56,17,22
23,Oct,2023,5,58,17,19
27,Oct,2023,6,1,17,15
31,Oct,2023,6,4,17,11
4,Nov,2023,6,7,17,8
8,Nov,2023,6,10,17,6
12,Nov,2023,6,12,17,4
16,Nov,2023,6,15,17,2
20,Nov,2023,6,18,17,1
24,Nov,2023,6,21,17,0
28,Nov,2023,6,24,16,59
2,Dec,2023,6,28,16,59
6,Dec,2023,6,31,16,59
10,Dec,2023,6,34,16,59
14,Dec,2023,6,35,17,1
18,Dec,2023,6,38,17,2
22,Dec,2023,6,40,17,5
26,Dec,2023,6,42,17,7
30,Dec,2023,6,43,17,8
34,Dec,2023,6,45,17,11
