sno	station	lat	lon
1	Bhairahawa	27.5	83.45
2	Biratnagar	26.4542	87.2797
3	Birendranagar	28.6	81.6333
4	Dadeldhura	29.3	80.5833
5	Dhangadi	28.6833	80.6
6	Dhankuta	26.9833	87.3333
7	Dharan	26.8167	87.2667
8	Dipayal	29.2667	80.9333
9	Ghorahi	28	82.2667
10	Janakpur	26.7	85.9
11	Jiri	27.63	86.23
12	Jomsom	28.7678	83.7477
13	Jumla	29.2753	82.1833
14	Kathmandu	27.7	85.37
15	Lumle	28.38	83.8333
16	Nepalgunj	28.05	81.6167
17	Okhaldhunga	27.3167	86.5
18	Pokhara	28.2639	83.9722
19	Simara	27.1594	84.98
20	Taplejung	27.35	87.67
