Month	Day	h	m	h	m
Jan.	0	17	31	17	10
Jan.	4	17	34	17	13
Jan	8	17	36	17	16
Jan	12	17	39	17	19
Jan	16	17	41	17	23
Jan	20	17	44	17	26
Jan	24	17	47	17	30
Jan	28	17	49	17	33
Feb.	1	17	52	17	37
Feb.	5	17	54	17	40
Feb	9	17	56	17	43
Feb	13	17	58	17	47
Feb	17	18	0	17	50
Feb	21	18	2	17	53
Feb	25	18	3	17	56
Mar.	1	18	5	17	59
Mar.	5	18	6	18	1
Mar	9	18	8	18	4
Mar	13	18	9	18	7
Mar	17	18	10	18	9
Mar	21	18	11	18	12
Mar	25	18	12	18	14
Mar	29	18	13	18	17
Apr.	2	18	14	18	19
Apr.	6	18	15	18	21
Apr	10	18	17	18	24
Apr	14	18	18	18	26
Apr	18	18	19	18	29
Apr	22	18	20	18	31
Apr	26	18	22	18	34
Apr	30	18	23	18	36
May	4	18	24	18	39
May	8	18	26	18	42
May	12	18	28	18	44
May	16	18	29	18	47
May	20	18	31	18	49
May	24	18	32	18	52
May	28	18	34	18	54
June	1	18	36	18	56
June	5	18	37	18	58
June	9	18	39	19	0
June	13	18	40	19	2
June	17	18	41	19	3
June	21	18	42	19	4
June	25	18	43	19	5
June	29	18	43	19	5
July	3	18	44	19	5
July	7	18	44	19	5
July	11	18	43	19	4
July	15	18	43	19	3
July	19	18	42	19	1
July	23	18	41	18	59
July	27	18	39	18	57
July	31	18	38	18	54
Aug.	4	18	36	18	51
Aug.	8	18	34	18	48
Aug	12	18	31	18	45
Aug	16	18	28	18	41
Aug	20	18	25	18	37
Aug	24	18	22	18	32
Aug	28	18	19	18	28
Sept.	1	18	16	18	23
Sept.	5	18	12	18	18
Sept.	9	18	9	18	14
Sept.	13	18	5	18	9
Sept.	17	18	1	18	4
Sept.	21	17	58	17	59
Sept.	25	17	54	17	54
Sept.	29	17	50	17	49
Oct.	3	17	47	17	44
Oct.	7	17	43	17	39
Oct	11	17	40	17	34
Oct	15	17	37	17	30
Oct	19	17	34	17	26
Oct	23	17	31	17	22
Oct	27	17	29	17	18
Oct	31	17	26	17	14
Nov.	4	17	24	17	11
Nov.	8	17	23	17	8
Nov	12	17	21	17	6
Nov	16	17	20	17	4
Nov	20	17	19	17	2
Nov	24	17	19	17	1
Nov	28	17	19	17	0
Dec.	2	17	19	17	0
Dec.	6	17	20	17	0
Dec	10	17	21	17	0
Dec	14	17	23	17	1
Dec	18	17	24	17	3
Dec	22	17	26	17	5
Dec	26	17	28	17	7
Dec	30	17	30	17	9
Dec	34	17	33	17	12
